,logFC,logCPM,PValue,FDR
PA4020,0.30265163384486,7.0652540234512,0.235963548346657,0.306380294423123
PA0911,-0.405822255756961,2.98274391423746,0.236070304033478,0.306448830887538
PA3777,0.354100387972356,5.55341288756792,0.236132784411668,0.306459874260445
PA0629,0.472530421626007,2.00320943965732,0.236666762784747,0.307022476497938
PA2679,-0.498883166059769,5.89141142477845,0.236674424028087,0.307022476497938
PA1090,-0.331547064334751,5.05824961266169,0.237231108260557,0.307674333646287
PA4734,-0.276274118061386,5.92435251544584,0.237933887529394,0.308515326191345
PA4282,0.296234163392554,6.31981252158254,0.238237124586491,0.308837989361209
PA4625,0.26850607986019,6.55909716088431,0.238773119781585,0.309462171677662
PA5069,-0.327556405409651,6.0859711001796,0.2393381312993,0.31012366716509
PA0859,-0.436213884910242,4.91290059847804,0.239580375509853,0.310366728757688
PA2962,0.342025292578287,5.36051791692401,0.239788066667342,0.310564927586033
PA5244,0.326597411165967,5.72964841984986,0.241061321510948,0.312142801263207
PA4769,0.384825031756774,6.45402587674225,0.241723989988114,0.312929506418722
PA1306,-0.367195115901176,4.83877780577352,0.242275033029408,0.313571378514014
PA3084,0.295996361375855,5.72651730668625,0.242882950736477,0.314286552935669
PA2911,0.257471108860318,5.08434535172421,0.242976128547666,0.314335488241888
PA0560,-0.408157357337067,4.48555527176158,0.243325409829499,0.314715643966263
PA4037,-0.330698781969314,2.25891874439437,0.243479410538098,0.31484310932255
PA1459,0.303103197942523,6.77144392133911,0.244692257523302,0.316339398501209
PA0602,0.351082560626359,5.37731373382476,0.245160126677962,0.316872114563503
PA4541.3,-0.43942670345821,2.49001454546502,0.246498164316923,0.318529034363106
PA1828,0.367600717408493,4.99767840736306,0.247189952209568,0.319350295482577
PA1086,0.31976083024019,7.78807419299694,0.248228589916212,0.320619184154743
PA3626,0.282592541204196,6.38694221394223,0.24840347238009,0.320699835018181
PA4492,0.27824003186776,6.65235683610682,0.248403993379704,0.320699835018181
PA4757,-0.422186038547404,6.30940265785271,0.249468509244327,0.321974662404385
PA3051,-0.34165869674527,4.04842522715085,0.249504845822349,0.321974662404385
PA4363,-0.2874548155994,3.56117057884252,0.249645671067846,0.322083190257493
PA3959,-0.278814445150501,3.25058743685407,0.250067064923353,0.322553565341844
PA1299,0.309390209608037,4.60086413211104,0.250709764693987,0.323309117404602
PA0584,-0.259736122153479,5.59326352464286,0.251611667244155,0.324398511946484
PA3566,-0.537715267510161,6.11524077640577,0.251712174155622,0.324449204681122
PA2971,0.319885965226149,9.29313914629373,0.251765268725788,0.324449204681122
PA5223,0.281942966840651,7.71352616404075,0.251869866833949,0.324510348056084
PA1849,-0.610688071782134,-0.505992128992323,0.251929915462711,0.32451407894675
PA4278,0.411280775717299,5.53962853218397,0.252075665278262,0.324628175878878
PA3889,0.286214101231471,3.63858368629046,0.252549960460685,0.325165232538724
PA1384,-0.565173907576509,1.41900671740225,0.252889541270206,0.325528636438954
PA3726,0.312948786576383,5.87515817591761,0.254231626786752,0.327182043720575
PA2332,0.26948408177222,4.12927461466608,0.254632762325246,0.327624025488952
PA2298,0.320088245443948,4.12171062396456,0.255507666873211,0.328675245243791
PA0689,-0.404159578460471,4.66363195071211,0.255748247169237,0.328910203267707
PA1786,0.36234445679841,2.26277492124918,0.255940738661551,0.329083223306225
PA3953,-0.420220917998545,2.03724081702874,0.256278644553904,0.329443093451906
PA0527,0.492277764882706,7.16225767001558,0.256919494724863,0.330192143741007
PA2667,0.878424988288676,5.79482242813543,0.257077343408707,0.330320243465634
PA3085,-0.332737390311762,4.22061790948006,0.257150918310906,0.330340025830164
PA1972,-0.34829838684841,2.14910720664546,0.257734155451333,0.331014371104426
