,logFC,logCPM,PValue,FDR
PA2841,-1.08679250167003,3.51765032315286,4.98292288891294e-05,0.000108903141505957
PA1508,-1.83918140842117,1.15121851296346,4.99828182497504e-05,0.000109196784156246
PA3146,0.968700294843772,5.76428345398393,5.01291379823882e-05,0.000109474325178462
PA0610,1.13054909365938,8.1727933405645,5.02386721639426e-05,0.000109671349691221
PA2096,-1.1126032183559,2.8524617596528,5.10375270453732e-05,0.000111372436035215
PA0021,1.22156219399341,2.57835764840682,5.10959576810187e-05,0.000111457106305349
PA3933,1.10079303150614,6.16779279336732,5.11444141726061e-05,0.000111519963007703
PA1064,1.02028832373469,6.02170276127033,5.17804269890872e-05,0.000112863441245312
PA5474,0.962957273522332,7.57376908511533,5.18237711602515e-05,0.000112914571238645
PA0995,-1.07066500005954,4.57140071046939,5.18645919337749e-05,0.000112960166091283
PA0361,0.973803473220001,6.84895460575425,5.20007418009293e-05,0.000113213271451563
PA2312a,-2.84796784551987,2.03705467625193,5.35405192717494e-05,0.000116520915456111
PA5203,1.03705580950228,7.09524923613666,5.47534798994468e-05,0.000119105204863439
PA4343,-1.17163616550884,1.81286695470501,5.4790404883595e-05,0.000119105204863439
PA1627,-0.907089831944507,3.52976236701634,5.47909114306627e-05,0.000119105204863439
PA5256,1.59312356774229,6.04142348406704,5.5149671058472e-05,0.000119839201021816
PA4818,1.36483564851784,2.24299334758878,5.53785165815516e-05,0.000120290442674082
PA0234,1.08515801640847,3.68311824657769,5.58645677285177e-05,0.000121299814746663
PA1344,-0.959309799926404,5.50347313663479,5.60776203040544e-05,0.000121715874650772
PA4165,1.36535239899506,4.08510909871331,5.61827255827787e-05,0.00012189740766489
PA3455,-1.13997990335337,6.29589933932994,5.6412451640921e-05,0.000122349083429011
PA5416,-1.7968421078303,5.42272072453458,5.73911315139231e-05,0.000124424148429193
PA0037,1.17442648152484,4.61961410541784,5.75531886534949e-05,0.000124727864570437
PA3889,1.10103081141695,3.58968624269211,5.76852443218839e-05,0.000124966355307004
PA5034,1.24828614338564,7.29866411396961,5.86211035253028e-05,0.000126945318770659
PA0779,-1.55352103152944,10.2849708110598,5.86499391214141e-05,0.000126959342101178
PA2927,-1.01185971662373,4.1840921390633,5.88194844137563e-05,0.000127277832508121
PA1666,-1.57100820096488,1.90103479422684,5.90386885041147e-05,0.000127703494600519
PA2126,1.10090371726296,2.46395808189064,5.91654949148088e-05,0.000127929048029811
PA1208,-0.97625813252922,3.89823817247212,5.94212638816355e-05,0.000128433169516531
PA3713,1.0030129469233,4.63871570709098,6.00098980932565e-05,0.000129656088802706
PA0328,1.10741497319059,5.68222391936413,6.0323124572736e-05,0.000130283264101938
PA4267,1.82164697553189,9.77766237112538,6.12010558013227e-05,0.000132129123513274
PA4915,-1.01960046068231,6.0863579831517,6.17169392582936e-05,0.00013319223911387
PA4971,0.950363288941024,7.56880956817459,6.23946999862982e-05,0.000134603763876216
PA4660,1.01943503092009,6.42165231913214,6.28626206624014e-05,0.000135561701527199
PA0013,1.35595410365297,4.41817691804389,6.31482430907481e-05,0.000136125939358112
PA1189,-1.1906362002989,3.82570262437067,6.40293549262798e-05,0.000137972932550822
PA4231,-1.12607996937094,7.58722861484508,6.4324287893276e-05,0.000138555882647201
PA1242,-1.25356097130029,4.57987830022356,6.58750132353285e-05,0.000141842368278421
PA0515,-1.63570082881212,4.63110000487337,6.60115125254167e-05,0.000142082398832189
PA5092,-0.983307259471059,8.03083111300331,6.61070548225537e-05,0.000142234125533331
PA4226,-1.22346196554485,8.34596109076988,6.62969785592584e-05,0.000142588728886163
PA1388,-1.0988037206933,1.92163626232294,6.65678521020521e-05,0.000143117101187221
PA2885,1.24287216403184,4.8651687627229,6.69106815100755e-05,0.000143799715978126
PA4586,1.15165664904714,3.7900787679349,6.70107389198557e-05,0.000143960263180833
PA3537,1.01675827753227,6.23590150256228,6.74191957330667e-05,0.000144782977826155
PA3780,1.14645942629012,1.72603571868051,6.78100252056237e-05,0.00014556722991211
PA2279,-1.30906336350273,2.688453906763,6.80453849594831e-05,0.000146017269765663
PA5258,0.8576760951618,7.20847469189134,6.82321786094425e-05,0.000146362791894376
PA4575,-1.42774944872822,6.02115345618102,6.87039761023019e-05,0.000147319175343229
PA5260,1.03003760986043,8.1145733455416,6.9419568610734e-05,0.000148797399234333
PA0192,1.32919796444273,3.42110491422007,7.07904500320879e-05,0.000151633457153923
PA1549,-1.15139617543911,5.70675828333807,7.07961068888781e-05,0.000151633457153923
PA3872,-1.82996527988681,2.37229742452773,7.09509866072067e-05,0.000151907881582096
PA2377,-1.06051034381336,2.97647046563439,7.13466469924558e-05,0.000152697422398479
PA3483,0.870821525473467,6.27688910919798,7.15402752969657e-05,0.000153054138333147
PA3179,1.05695284283233,7.30241882554484,7.30131513664973e-05,0.000156146393016562
PA3901,1.25884349047205,5.76494261069934,7.36518116245214e-05,0.000157452931628024
PA4450,0.9361958060965,9.25695479007947,7.41768846157786e-05,0.000158515751166124
PA4385,1.85010465473427,12.3788512239936,7.42928064003256e-05,0.000158703745199793
PA4186,1.17109446543493,5.6065976422641,7.43792154880498e-05,0.000158771958520934
PA5282,1.34782541045921,3.5342253845967,7.43806639073064e-05,0.000158771958520934
PA5369.3,1.42723681024029,2.62362510965633,7.52939001030942e-05,0.000160660941294765
PA1481,-0.881704719996807,5.49373171578475,7.68542627001813e-05,0.00016392881427935
PA5378,-0.886737836759937,6.81021306254758,7.71389296785939e-05,0.00016447421806799
PA4853,1.93810914180923,5.65216262985515,7.79279288537857e-05,0.000166094136648572
PA1557,1.22548197397366,7.07387035909678,7.82271031808203e-05,0.000166669227715084
PA4097,1.61223392549049,0.343043935640698,7.99883491049584e-05,0.000170341933155023
PA5233,1.48760168819841,6.6355932562417,8.00109080176903e-05,0.000170341933155023
PA0157,1.08956543602413,5.04551190696769,8.08692715406651e-05,0.000172104844005958
PA4024,-1.14304994967793,5.21630209734984,8.12623716795384e-05,0.000172876637840547
PA1569,-1.10595538410777,2.07680990958372,8.17244080612103e-05,0.000173794452798334
PA3946,0.909740227741802,4.76021920433223,8.21498453566561e-05,0.000174633778335864
PA0971,-1.10321451191682,7.80774613356846,8.2210893254708e-05,0.000174698148166255
PA5379,-1.33506718270232,4.69872145062993,8.25196085619785e-05,0.000175288566185901
PA3096,-1.77845946391586,5.60772370106137,8.34239877912105e-05,0.000177143381704747
PA3853,1.18170885208961,5.01028706837333,8.34898011204622e-05,0.00017721685635962
PA0767,1.02320573304728,8.27981661172687,8.36742909538515e-05,0.000177542086710003
PA2844,-1.2759154734153,4.12091753335236,8.377525775478e-05,0.000177689919137707
PA3314,1.14352716893358,4.26119678459825,8.44522075793387e-05,0.000179058862821316
PA2296,-1.01575755069633,2.0811286968089,8.4765470394189e-05,0.000179655968980293
PA2776,-0.931529339089212,5.84784551883213,8.52555960396271e-05,0.000180627341161568
PA4067,1.74905911769756,10.0128258134919,8.60546893979017e-05,0.000182252341067246
PA5419,-1.38202633368857,3.95563354954322,8.66339335616975e-05,0.000183356680648145
PA0116,0.871607686166364,6.85534074146486,8.66407140153174e-05,0.000183356680648145
PA0673,-1.47013895043352,2.43334251962321,8.72783594712008e-05,0.00018463730442529
PA2719,-1.10185795667475,2.81019289924659,8.85522377724463e-05,0.000187262423118045
PA2208,-2.54952593362907,-1.12670921969524,8.86532165588654e-05,0.000187406166649753
PA0941,-1.89598189082951,2.12852260025232,8.90136504521421e-05,0.000188098067460835
PA0544,0.974523186154816,5.43883882747183,8.94172792478846e-05,0.000188880696268411
PA2346,-1.1366731091168,1.59178519475654,9.02336943972388e-05,0.000190534368459473
PA1438,-1.22455176371812,4.13120487992713,9.02969558937483e-05,0.000190597068983161
PA1539,-1.23539822820648,3.69182899772713,9.03551688669887e-05,0.000190649070541346
PA3472,-1.18628219054779,7.18376353771314,9.11996273411291e-05,0.00019235939228935
PA0120,0.947493205325456,4.12507526401506,9.20422598450616e-05,0.000194064593910234
PA1316,-1.14001007167006,3.8431338200115,9.29146748668904e-05,0.00019583130062888
PA4418,0.964783657982147,8.33839509661372,9.42765331297032e-05,0.000198627886868443
PA2241,-1.87550587807215,3.01968050456001,9.4578945720386e-05,0.000199191117878469
PA1543,-0.964130725939387,5.32684661871677,9.52551667966571e-05,0.000200540911038717
PA0771,0.970005778779033,6.53753075115122,9.60321317751871e-05,0.00020210172135638
PA1619,-1.17452028932353,3.24605713469711,9.60681709726669e-05,0.000202102658311524
PA0481,1.06901521258176,2.74300765424165,9.70733759206438e-05,0.000204141714250895
PA1365,-1.00667172961756,4.27607434158802,9.72834515295062e-05,0.000204507751863953
PA4715,1.55893629290346,7.45111389031142,9.79008781950576e-05,0.000205729528642316
PA5432,0.994330741123318,2.87704376087137,9.97377017371676e-05,0.000209511901762352
PA0591,1.32257652666189,4.99230558283199,0.000101335157504935,0.000212788840352448
PA2831,-0.957883235933678,5.50254530841047,0.000101604697010871,0.000213275959196941
PA5293,1.13081111376934,4.12826507370527,0.000102018587239724,0.000214065609145288
PA0892,1.18730869603979,5.01321996236078,0.000102820300569001,0.000215666361540938
PA3689,-0.867724691421752,6.16750750803671,0.000102857433436573,0.000215666361540938
PA2236,-1.33089544843634,4.56712486429688,0.000103332245090138,0.000216581944489406
PA4152,-3.43156111995826,4.68822936589482,0.000104673229893711,0.000219311660271769
PA4767,0.978863256863767,6.26272324749352,0.000106479889240607,0.000223014685026988
PA2521,-1.41468778855093,0.667847330856073,0.000107694717152519,0.00022547588642773
PA2469,-1.40175285856994,3.89051171752555,0.000110212086737152,0.000230661344818853
PA4286,1.14212213554527,5.57167071810757,0.000110986524398957,0.000232196567994575
PA4934,1.60941933315483,8.89958857023811,0.000111448897644065,0.000233078026085821
PA5132,1.2907823693862,4.31430775144891,0.000111714461853334,0.000233547391164665
PA1134,-1.53238310674335,2.26027350776766,0.00011273797072471,0.000235600367234047
PA3442,1.43537854912599,2.73440425639812,0.000114291374901739,0.000238758803050799
PA4048,0.931380237354958,5.17601098222324,0.000114572480203557,0.000239258014930415
PA0567,-0.99339329682833,4.72263821040908,0.000115392122183145,0.000240866743313639
PA3952,-1.24732352661639,5.41692389030379,0.000115427687311802,0.000240866743313639
PA4310,0.889741653980573,5.40990685476163,0.000115716933561687,0.000241373553594815
PA3309,0.916158983020863,9.14449210338349,0.000115755580563347,0.000241373553594815
PA3094.3,-2.20952994511962,1.66089912543287,0.000115947533014978,0.000241685055968813
PA3726,1.33616730017681,6.20362831551171,0.000116827739211232,0.000243430423207844
PA3862,1.29872518785962,4.75025214095684,0.000121101721054834,0.000252243423385673
PA1840,-1.32395049937412,2.90918797375769,0.000121617562095488,0.000253224978943227
