,logFC,logCPM,PValue,FDR
PA5049,1.79295798199238,7.34689883089377,2.12619819609672e-08,1.08603611989578e-07
PA0746,-1.48009309182351,4.55346623118331,2.12693230948241e-08,1.08603611989578e-07
PA1762,-1.61854959484244,3.82340051659036,2.18868466318221e-08,1.11656347866564e-07
PA4430,1.64699074511095,9.15426477850158,2.20457610520752e-08,1.12366096277992e-07
PA1602,1.62467737396163,3.26280772694051,2.22008625209674e-08,1.130551546135e-07
PA2995,1.29122998463454,5.61492791870608,2.27764492381972e-08,1.15882328650971e-07
PA2746a,-2.15900579269683,5.47714832347241,2.30893763027544e-08,1.17369273632085e-07
PA2616,1.24452847233941,7.48812223605174,2.32236729428166e-08,1.17946346126398e-07
PA3920,-1.69883740855854,5.54159495415699,2.34951778610085e-08,1.19218605804117e-07
PA2110,-1.92345331972407,3.65673228649467,2.36623307596357e-08,1.19959566118939e-07
PA5190,1.3274792237973,4.42710889121857,2.38656278543322e-08,1.20882279176537e-07
PA0890,1.92496203901616,5.22200526100124,2.44478903898463e-08,1.23721142275889e-07
PA3907,1.92269413325659,5.49714904958973,2.51581743679666e-08,1.27202238701081e-07
PA0446,-2.42273129375986,6.95680060075043,2.51997640851957e-08,1.27263396089865e-07
PA3661,1.70974618691445,3.20736918830725,2.52150969709577e-08,1.27263396089865e-07
PA4229,-2.71528680708995,4.51890140580262,2.56410438033972e-08,1.29183537458465e-07
PA3584,1.70486883810038,8.20817536251579,2.60743802019749e-08,1.31250293250721e-07
PA2442,-1.70403860350653,5.07585369098513,2.69354125909643e-08,1.35450898635502e-07
PA2406,-2.86867396814035,4.68030640653548,2.69565895488055e-08,1.35450898635502e-07
PA3444,1.48696030351839,3.05837465752674,2.74157458353057e-08,1.37636255395991e-07
PA3040,-1.78819010321381,6.47684687796615,2.78116390631032e-08,1.39500429858922e-07
PA2339,-1.46054562249013,3.08464064508678,2.99252563960986e-08,1.49837394900395e-07
PA3544,-1.82930504142611,3.36701990459031,3.04741933552458e-08,1.52451515304921e-07
PA1016,1.3047611989985,4.89062581669683,3.05504041924165e-08,1.52698235039208e-07
PA5051,1.33807813675108,8.30691056626316,3.2003409176918e-08,1.59820015221232e-07
PA2008,-1.88187341432235,5.86454418240585,3.33140774669359e-08,1.6621909653538e-07
PA5400,-1.41831999967481,3.44973506502632,3.33619670093803e-08,1.66311895240791e-07
PA1552.1,1.55709866541819,5.38564170790048,3.34728657703836e-08,1.66718361266876e-07
PA4768,1.3787269187457,5.2664799154444,3.41008609368314e-08,1.69697360560323e-07
PA5207,1.68051939794647,5.4584122706727,3.45652790729536e-08,1.71857841135053e-07
PA3529,1.88167619336193,9.58145851319242,3.54718478829627e-08,1.76210981871796e-07
PA4739,-3.56148818336108,5.67249365359343,3.58553211625546e-08,1.77804815337105e-07
PA0831,1.32055981311883,5.80631536934747,3.60452192648506e-08,1.78590536636843e-07
PA3999,1.25427569941085,8.54779910369962,3.61428019368472e-08,1.78917898341254e-07
PA1749,-1.43906042873604,7.59315646574104,3.6515932511405e-08,1.80607547734981e-07
PA5208,1.8143115375103,7.7675838303599,3.7591698611211e-08,1.85766461892477e-07
PA1363,-1.88136202362157,4.03905290279924,3.85400275333712e-08,1.90287196812593e-07
PA2121,-1.67900517126457,4.34230488888668,3.96128935542789e-08,1.95253199370124e-07
PA3675,1.56043797335518,6.10453576172751,3.96145976883379e-08,1.95253199370124e-07
PA3879,2.2286843464892,6.77995472966639,4.31265674180962e-08,2.12010952207749e-07
PA4067,3.08818759995226,10.7775987416777,4.3594530103289e-08,2.14126074330861e-07
PA0513,-1.9029627967122,3.96431082821425,4.4520346968901e-08,2.18397738621255e-07
PA5232,1.72373989759793,8.78764101254921,4.45411379576284e-08,2.18397738621255e-07
PA5419,-2.55517785281697,3.92340085277667,4.67976093706342e-08,2.29263870583659e-07
PA2991,1.2843288693751,7.72392651955718,4.7045009011247e-08,2.30277207901604e-07
PA3458,2.1204969193384,6.23321677819334,4.71475178350948e-08,2.30580194890326e-07
PA5285,1.86938810135065,7.36541875349861,4.74247075448232e-08,2.31536964264408e-07
PA4714,-1.71885676695216,7.32575390808669,4.77110459139311e-08,2.32734809879124e-07
PA1562,-1.56871328645082,8.70335894111983,4.94419995557541e-08,2.4097139354298e-07
PA1729,-1.50449784457598,6.110202241943,5.04815636153716e-08,2.45827031053242e-07
PA5227.1,-4.16615169560341,8.62146121112194,5.12756929022122e-08,2.49361583353687e-07
PA4730,1.53595756341638,6.067071436308,5.12952323629986e-08,2.49361583353687e-07
PA4935,2.06145875984511,9.82317800488965,5.21280575824765e-08,2.53193422543457e-07
PA0963,1.39067414852475,9.04809195987512,5.26663176112283e-08,2.55589189227824e-07
PA2968,1.9447696963787,7.89526723651471,5.38090802471041e-08,2.60847541817097e-07
PA0382,1.61540555000662,6.35981144828696,5.3841725785424e-08,2.60847541817097e-07
PA2718,-1.48889579050187,3.74459751627554,5.41519323962169e-08,2.62126745222267e-07
PA2685,1.5012134685561,7.65348530889717,5.49415049219406e-08,2.65722201828602e-07
PA2852.1,-5.50133344248796,4.30638409943994,5.69272822271085e-08,2.75092007221721e-07
PA0004,1.30640846781555,9.18504264066388,5.85193163784744e-08,2.82162087310569e-07
PA2581,1.33213206787516,5.68233864022713,5.85394397414319e-08,2.82162087310569e-07
PA2644,1.31019992033087,6.51658706842911,5.91188616308155e-08,2.84713228447642e-07
PA0898,1.7121110013625,6.61234371389897,5.9172124625513e-08,2.84728240359037e-07
PA1555.1,2.82124053366997,4.23347775299929,5.96746544697452e-08,2.86903207518386e-07
PA3120,-1.56552961610653,5.93746045261561,6.08204069422011e-08,2.92164357544685e-07
PA3581,1.5517786175061,7.02373628198412,6.15378364249447e-08,2.95311872536832e-07
PA5171,2.39469762159618,9.60725322351702,6.1579650772034e-08,2.95311872536832e-07
PA2753,2.80963550662604,5.98923835314153,6.30542447602041e-08,3.0212827151767e-07
PA5135,1.2216028012318,5.45113524295848,6.3239692307305e-08,3.02761359967013e-07
PA5027,2.98765856728376,8.02586693077012,6.47285859230802e-08,3.09628400060025e-07
PA5479,1.53498372766601,7.6158199458843,6.48259513580706e-08,3.09833124420139e-07
PA2531,-2.2928528016384,4.70697910027353,6.54960669998507e-08,3.12613933263633e-07
PA2775,1.57768085135149,4.05711392898441,6.90135889022277e-08,3.28740904183598e-07
PA0062,-1.5178162161505,5.4816675693916,7.00871245650475e-08,3.33574763856111e-07
PA2659,-2.005443833214,6.58973138396927,7.12403232250112e-08,3.38779359523964e-07
PA2778,-1.54477611697087,5.03040686494599,7.35430178395351e-08,3.49437033717891e-07
PA4234,1.28055988565088,8.29829284792043,7.49522890361341e-08,3.55538092854778e-07
PA2536,1.40702919968614,5.38354816566549,7.59835114719042e-08,3.60128863219927e-07
PA0734,-1.44042679342435,3.99039872034079,7.65590085576203e-08,3.62553837022659e-07
PA5443,1.19615872178967,7.99183253974457,7.85538914376436e-08,3.7169082965245e-07
PA3814,-1.44005082129378,9.99007631755154,7.88211703875824e-08,3.72644967078012e-07
PA4261,2.15159194056866,7.21112980330971,7.89390736717572e-08,3.7289189709504e-07
PA2779,-1.64525309654785,4.41179921837928,7.9080496402087e-08,3.73249425246093e-07
PA1947,-1.56552887445465,5.58269100514074,7.95413634226703e-08,3.75112841788972e-07
PA4682,-1.44477592843865,4.0165295643888,8.40749179594277e-08,3.95835310260058e-07
PA4130,-1.85910448919671,8.91479469877709,8.45238538837299e-08,3.9761925629811e-07
PA1896,-1.45350440703859,3.23495920098291,8.67900024398768e-08,4.07941749878825e-07
PA1155,1.32888258316944,8.22574726523473,8.69509462689044e-08,4.08360192650818e-07
PA1552,1.5589944936482,9.18546681031494,8.84733039214609e-08,4.1516646253393e-07
PA5074,1.35132674702607,5.47110016403493,9.07507718369548e-08,4.2550196737426e-07
PA3491,1.25289766937826,5.52321036583102,9.08923099026056e-08,4.25813973289599e-07
PA1714,1.32431940165223,5.63613222496471,9.13754358758442e-08,4.27724422838453e-07
PA0007,-1.54726837173806,6.2057223613895,9.21855163651181e-08,4.31160924152505e-07
PA0797,-1.27687031788408,5.41451221554299,9.37661529513452e-08,4.38192770747109e-07
PA3309,2.05032282684448,10.0130752873675,9.90861320218595e-08,4.62673567121808e-07
PA1275,2.36036660049257,3.51134342372786,1.00438812996788e-07,4.68604420867511e-07
PA5517,1.30341816866011,3.70832777143902,1.03265529166279e-07,4.81397105587959e-07
PA4132,-1.70257270739858,8.11605516216161,1.06687161764963e-07,4.9653254467333e-07
PA5119,1.75469092307708,8.96057290561897,1.09957223964399e-07,5.11332610704222e-07
PA4965,1.32403156712869,4.79685702707259,1.12565899103615e-07,5.23035331514178e-07
PA2500,1.70136684650868,5.69314788437838,1.14893025065042e-07,5.33171552367468e-07
PA4897,-1.37894466777939,4.74483600309014,1.1493518494149e-07,5.33171552367468e-07
PA3249,-1.64484464793366,3.8328056025799,1.18405058382106e-07,5.48819527749877e-07
PA4408,1.27911720354092,8.30402347004138,1.18545763113482e-07,5.4902352606717e-07
PA4622,1.30648834325941,3.84133222331647,1.19186480142934e-07,5.51541022209927e-07
PA5410,-1.44853088072063,5.46143900584916,1.23824842472889e-07,5.725386445937e-07
PA2483,-1.37917039447217,7.16060933637866,1.25582306871541e-07,5.79720600338707e-07
PA3308,1.43414580862018,7.76512863921966,1.27345419143152e-07,5.87382038907244e-07
PA0516,-1.54494990319272,6.48431995874583,1.28044266519703e-07,5.90126091963369e-07
