,logFC,logCPM,PValue,FDR
PA5305,1.13824854025287,5.10498019175466,0.000114731631758088,0.000275569460711685
PA4169,1.20772773262057,2.82855601054078,0.000115490838920266,0.00027727568008003
PA0652,0.980213267485251,7.63232485265799,0.000116043318952543,0.000278484347004454
PA2743,1.18812226303824,10.3389702454762,0.000116772107069372,0.000280114923506503
PA0139,1.79085244142129,8.78782698651009,0.000117018988187299,0.000280588604276809
PA4914,-1.10361951727909,4.58983341254534,0.000117533957852743,0.000281704437605687
PA5316,1.36676734347004,7.5062631221215,0.000118093356906707,0.000282925772369739
PA5322,0.91054359628699,8.31115887465306,0.000118427422963498,0.000283606456173234
PA4582,0.917615007353959,4.00009767963145,0.000118735244106027,0.000284223742004225
PA4931,0.893573301705848,6.7432522451606,0.00011925413232099,0.000285345538693038
PA5340,0.81229755879483,6.85282035720404,0.000121553843992503,0.000290725663938261
PA4107,-1.93479574390175,1.86973146067525,0.000121662011300223,0.000290861852700069
PA2261,-1.80799799410175,4.67928838556201,0.000122764091511695,0.000293373110944193
PA1333,-0.855091612013831,4.16864571414896,0.000123854971443953,0.000295855501833725
PA5109,0.960920428768081,6.14920606350119,0.000124039326861377,0.00029617127751005
PA0474,-1.62517160756088,-0.244056049616706,0.000124677044361343,0.000297568834755656
PA4580,0.905937222209832,4.21955194052004,0.000125720905999861,0.00029993416145681
PA0729,0.962762277864277,6.12419059468095,0.000126000352150715,0.000300474590303134
PA2819.2,1.01595234983168,3.33465455733776,0.000126508137539035,0.000301558860179111
PA5166,0.823736346939416,6.0403116912752,0.00012686713064825,0.000302182265755115
PA3806,0.917456104082496,8.21131011701305,0.000126876104536843,0.000302182265755115
PA5168,-0.966716008190823,3.2664522590444,0.000127440552201136,0.000303399352368154
PA1026,-0.978096587377194,4.10143807012159,0.000128241473244517,0.000305178158039551
PA2137,-1.9656831064055,1.73526914590994,0.000130379582228272,0.000310136266398043
PA2432,0.918907756162189,3.06031294367843,0.000130452017059745,0.000310178623477902
PA5548,0.970140834745187,5.0026493601009,0.000131358275315395,0.000312202715462877
PA5127,1.03332706333889,3.62546053384572,0.000131765618595372,0.000313039825265491
PA1132,0.86497207707512,3.46872312410869,0.000131823381910035,0.000313046073812287
PA4487,1.08761478791457,5.76879683430348,0.000133062800237995,0.00031585726578233
PA0795,-1.09874155839112,7.02237094488564,0.000134480118289413,0.00031908822049615
PA3295,-0.912564138497092,5.01232264897511,0.000136969634310128,0.000324859475193362
PA1283,-1.10592502220799,4.03563923688635,0.00013716811279618,0.000325194381819085
PA3195,0.952726967879877,7.52815560862299,0.000138224222565443,0.000327561408900913
PA1818,-0.834145628524712,6.90541785108509,0.000138930352620794,0.000329097431030817
PA0555,0.991422370076506,8.2210713759656,0.000139974033328589,0.000331431426705475
PA3399,-1.3293301468818,5.08635329241381,0.000142074296460868,0.000336264216467197
PA4741,1.92348306143739,8.1264971494892,0.000142415458729218,0.000336828990502946
PA0181,0.918887255438422,4.45680162843782,0.000142431561500101,0.000336828990502946
PA2747a,-0.908662002002562,3.76484509888954,0.00014289918359673,0.000337794156728657
PA3156,1.15808595671799,6.39114369778696,0.000143164722865512,0.000338281022234864
PA2232,-0.80384098968866,5.5201217522729,0.00014326237940924,0.00033837096101733
PA2029,-0.870120938436294,3.97733039361117,0.00014580597320232,0.0003442354743629
PA4781,-0.852826259976039,6.03394135302503,0.000145992703812258,0.000344533072421447
PA4901,-1.17876673796109,2.87086030761966,0.000149097345582645,0.000351713638644894
PA2978,0.95732427357133,4.97710889486939,0.00014958883125744,0.000352726488322153
PA5078,1.06263065006885,7.86560760075515,0.000150943786861872,0.000355773691075844
PA1815,0.996913011802282,4.90305258826002,0.000151298548807078,0.000356461892168709
PA2754a,1.10432714566517,3.71667687233515,0.000155637552521699,0.00036653256873422
PA5404,1.4194310582927,1.46788606198953,0.000155732078080851,0.000366603125764127
PA3813,-0.966713650761497,7.0517716330546,0.00015589410518019,0.000366689317958544
PA3094,-1.12278076054939,5.79677365359947,0.000155897853742854,0.000366689317958544
PA4283,0.895589042531376,5.55597366846864,0.000156527994537511,0.000368019028150719
PA5567,0.813975760633138,5.37459278477342,0.000156727244437146,0.000368334972646571
PA0424,-0.849465457980771,5.49475068622421,0.000157095476542735,0.000369047627558812
PA0321,-0.982411342117696,3.52843749830612,0.000158100406000595,0.000371254799533242
PA2487,-1.05616045285848,2.0355030586338,0.000158428014683306,0.000371870304825057
PA4405,-0.882254033650719,4.92845503513464,0.0001588485433349,0.000372703317791554
PA4354,1.09758538110138,2.76018231215494,0.000159156210193246,0.000373270946500309
PA0657,0.819086970367671,5.28482467916371,0.000159334229441255,0.000373534167946923
PA4560,0.866146398054761,8.88598399199042,0.000161410272294359,0.000378244955050505
PA2056,0.974269789925051,4.16523918612711,0.00016359500434176,0.000383206449939155
PA1442,1.27064406333067,5.17447707549958,0.000164259508090992,0.000384604324511609
