Geneid	B1Z.sam	B2Z.sam	B3Z.sam	P1Z.sam	P2Z.sam	P3Z.sam
PA1369	228	155	141	294	68	114
PA1370	319	286	377	1007	280	444
PA1371	252	272	154	83	1	10
PA1372	590	775	569	681	44	118
PA1373	474	343	307	359	503	458
PA1374	130	127	86	198	218	162
PA1375	775	474	402	397	823	622
PA1376	2564	1939	1710	2290	1807	2060
PA1377	837	707	565	956	985	684
PA1378	258	185	183	370	362	329
PA1379	186	148	117	107	127	142
PA1380	254	284	216	281	275	275
PA1381	27	27	15	55	25	41
PA1382	947	1053	822	1644	1066	1233
PA1383	1011	962	734	1117	845	778
PA1384	41	50	38	62	22	52
PA1385	95	83	121	36	20	43
PA1386	52	38	68	69	36	84
PA1387	553	632	418	646	436	519
PA1388	151	186	107	140	104	210
PA1389	537	387	346	292	287	306
PA1390	235	198	186	184	182	192
PA1391	162	155	178	208	250	294
PA1392	370	398	279	378	315	391
PA1393	193	178	139	88	102	123
PA1394	103	88	51	638	822	1158
PA1395	57	53	43	1618	1520	1011
PA1396	559	269	260	2514	3370	2479
PA1397	933	420	490	437	535	506
PA1398	297	203	190	381	367	200
PA1399	327	228	210	300	408	503
PA1400	329	314	209	296	421	502
PA1401	234	197	127	196	179	169
PA1402	329	358	211	229	188	280
PA1403	334	384	295	185	165	211
PA1404	265	414	413	83	40	75
PA1405	266	181	201	1277	1487	1795
PA1406	412	310	247	255	250	383
PA1407	217	173	168	177	300	298
PA1408	1138	896	1057	612	712	607
PA1409	133	127	108	241	164	137
PA1410	70	65	58	403	189	110
PA1411	374	251	266	352	373	315
PA1412	63	51	30	53	46	37
PA1413	1369	928	596	365	545	690
PA1414	442	396	537	1473	720	1159
PA1415	830	611	581	1087	1217	2008
PA1416	284	206	174	214	268	313
PA1417	101	89	79	119	139	169
PA1418	146	146	129	235	184	199
PA1419	83	70	50	129	125	132
PA1420	42	24	42	60	49	65
PA1421	245	314	306	1076	800	1110
PA1422	374	207	261	277	342	287
PA1423	181	161	134	179	180	173
PA1424	260	181	161	172	256	217
PA1424a	103	94	78	173	158	220
PA1425	332	139	153	217	328	214
PA1428a	387	272	241	509	491	516
PA1428	193	102	87	169	188	155
PA1429	1201	612	739	22094	17262	23769
PA1430	13322	10417	9671	3793	3240	3445
PA1431	796	591	717	466	355	453
PA1432	6272	8878	6358	18132	13729	16405
PA1433	1429	1150	952	2258	3469	3006
PA1434	468	397	390	204	203	261
PA1435	117	100	61	92	84	79
PA1436	365	311	237	284	242	317
PA1437	557	405	370	535	374	321
PA1438	651	360	341	407	468	424
PA1439	320	305	306	252	325	226
PA1440	5318	4397	3754	4652	3811	2537
PA1441	2087	548	620	2183	2799	3024
PA1442	677	295	375	766	778	694
PA1443	2017	1117	1285	2903	2590	2664
PA1444	1362	783	916	1460	1719	1736
PA1445	405	173	213	392	491	490
PA1446	1065	483	714	1350	1251	1021
PA1447	278	127	162	499	451	429
PA1448	198	142	139	359	396	310
PA1449	455	254	239	416	427	487
PA1450	751	383	440	1034	1322	1554
PA1451	333	199	210	1056	1037	1250
PA1452	5021	3302	2860	7019	5706	5749
PA1453	6903	3060	3601	7831	8663	8579
PA1454	3121	2219	2048	6238	4799	3455
PA1455	3093	1557	1589	5681	4670	4927
PA1456	1107	670	664	1823	1614	1816
PA1457	3888	2327	2518	6459	6548	6263
PA1458	3622	2140	2235	5707	6105	6342
PA1459	2074	1175	1084	2966	3001	2340
PA1460	792	459	446	1531	1484	1211
PA1461	911	602	579	1605	1253	1087
PA1462	3274	1986	2117	3578	3288	3863
PA1463	1980	1051	996	1465	1642	1517
PA1464	3161	2541	2423	5176	4066	3287
PA1465	437	267	221	156	260	212
PA1466	182	148	115	327	345	376
PA1467	401	212	205	216	336	375
PA1468	62	65	52	75	103	97
PA1469	353	220	200	204	266	182
PA1470	602	480	557	252	295	232
PA1471	2209	5296	5129	854	690	682
PA1472	281	252	145	190	195	245
PA1473	224	138	172	73	90	100
PA1474	1910	1590	1339	475	465	712
PA1475	1378	689	783	775	1059	902
PA1476	1113	508	503	379	427	531
PA1477	2115	1227	1173	1134	1457	1353
PA1478	29	12	21	29	33	29
PA1479	638	363	455	964	942	761
PA1480	3734	2012	2213	4684	4704	4958
PA1481	1122	562	658	1170	1412	1471
PA1482	597	382	412	1440	1314	806
PA1483	1571	806	1007	1647	2249	2236
PA1483a	908	548	597	209	398	569
PA1484	428	342	293	374	440	399
PA1485	111	82	88	52	48	39
PA1486	139	117	108	143	130	143
PA1487	243	199	184	405	487	606
PA1488	167	131	126	181	315	303
PA1489	147	92	92	326	406	320
PA1490	102	96	90	363	334	292
PA1491	438	469	312	266	305	252
PA1492	96	70	100	222	187	199
PA1493	8414	9312	8970	6573	4817	4051
PA1494	22704	27181	29603	1547	1682	836
PA1495	155	60	98	70	69	63
PA1496	277	230	236	278	249	149
PA1497	111	108	63	31	58	55
PA1498	89	57	76	112	102	113
PA1499	83	117	51	57	77	85
PA1500	126	75	64	159	147	150
PA1501	564	609	404	332	235	559
PA1502	313	297	181	191	209	276
PA1503	67	50	24	38	66	58
PA1504	432	370	444	853	761	487
PA1505	1731	1619	1237	4241	3966	3321
PA1506	108	106	45	202	261	211
PA1507	266	339	241	339	305	321
PA1508	61	76	81	185	103	126
PA1509	403	388	346	582	348	664
PA1510	456	328	391	941	712	1109
PA1511	1124	1090	847	1919	1753	1888
PA1512	244	227	231	245	145	177
PA1513	1026	1002	790	1068	1051	1063
PA1514	252	255	199	340	204	201
PA1515	620	564	477	877	723	1232
PA1516	57	97	49	274	206	243
PA1517	417	527	432	1128	864	1191
PA1518	327	415	288	605	514	458
PA1519	128	161	95	203	116	158
PA1520	2326	2096	1742	3316	2902	2042
PA1521	671	701	557	680	781	714
PA1522	1172	954	807	503	607	719
PA1523	832	979	768	864	831	879
PA1524	425	386	320	703	527	589
PA1525	814	951	610	392	311	522
PA1526	909	934	786	1628	873	917
PA1527	6224	6212	6269	7698	7430	7244
PA1528	5013	3846	3753	7008	7984	5549
PA1529	1740	1328	1355	3672	4869	3701
PA1530	303	235	270	500	635	610
PA1530.1	87	82	103	55	50	104
PA1531	29	34	21	15	10	42
PA1532	4173	2706	2652	5996	6754	7219
PA1533	4383	4400	3216	5963	4445	4927
PA1534	2102	1756	1666	2405	3192	2852
PA1535	567	410	360	878	1005	1039
PA1536	734	626	569	433	459	507
PA1537	122	190	83	118	81	109
PA1538	891	1296	629	216	230	234
PA1539	985	936	534	157	245	290
PA1540	33	24	20	12	8	21
PA1541	958	531	253	129	65	56
PA1542	168	149	167	341	149	165
PA1543	920	826	803	1600	1604	869
PA1544	9517	7905	8716	9950	6678	5621
PA1545	362	347	281	501	368	458
PA1546	2135	1157	1282	48414	26123	21301
PA1547	275	226	187	212	287	196
PA1548	119	110	107	152	85	73
PA1549	1273	930	1052	1839	2266	2019
PA1550	872	731	665	1451	1263	1004
PA1551	4731	4136	3878	8257	5764	7365
PA1552	5171	3892	4218	15556	21652	16656
PA1552.1	396	275	292	1445	1137	713
PA1553	1437	1013	969	3843	5303	3416
PA1554	4631	3804	3778	12387	14316	8072
PA1555	1930	1049	1334	20893	15216	21446
PA1555.1	104	33	92	2293	1322	1216
PA1556	768	290	504	9978	9204	15999
PA1557	2306	1082	1278	38049	25676	34559
PA1558	276	244	155	120	209	127
PA1561	511	355	304	5010	4582	4430
PA1562	15669	15669	12847	7039	6772	7072
PA1563	545	406	338	761	1253	966
PA1564	161	217	145	316	256	212
PA1565	327	338	295	590	595	517
PA1566	219	233	186	154	225	168
PA1567	260	287	203	445	409	573
PA1568	44	41	28	37	28	64
PA1569	141	152	101	118	115	143
PA1570	1791	1026	844	884	959	1180
PA1571	924	1102	985	1004	533	343
PA1572	6158	5467	3361	1674	2229	3504
PA1573	1060	966	714	693	829	1243
PA1574	497	349	375	2046	857	821
PA1575	928	753	575	274	297	266
PA1576	2577	1768	1564	1122	1437	1222
PA1577	560	472	336	260	218	347
PA1578	708	542	494	147	286	424
PA1578a	133	81	70	76	125	69
PA1579	4352	4072	4249	5924	5248	3842
PA1580	4009	3318	4197	21080	11898	7769
PA1581	1932	1780	2047	4489	3729	2589
PA1582	2201	1900	2057	4107	4337	2810
PA1583	9420	7782	9221	34130	38633	25497
PA1584	6147	4715	6089	20441	20630	22643
PA1585	16358	12989	14189	37905	47107	41588
PA1586	7225	5361	6100	12774	16039	16027
PA1587	15542	12041	13056	29364	39201	39658
PA1588	7776	7527	7824	45188	53184	34114
PA1589	7362	8036	7760	48580	52360	34707
PA1590	6397	4757	4441	2167	2632	1735
PA1591	277	458	392	242	348	174
PA1592	11207	17052	19467	22051	7483	8194
PA1593	224	174	170	241	203	190
PA1594	160	107	65	199	219	133
PA1595	278	193	157	427	511	393
PA1596	30156	30601	23210	37260	43854	45255
PA1597	3127	2393	1799	1400	1983	1947
PA1598	640	435	379	468	726	619
PA1599	258	149	150	275	390	387
PA1600	120	90	81	285	394	297
PA1601	256	206	242	858	1368	1250
PA1602	68	51	69	409	279	298
PA1603	421	373	305	295	170	268
PA1604	651	542	447	2631	1898	3075
PA1605	368	319	271	481	423	292
PA1606	69	65	46	166	148	86
PA1607	838	1802	1204	3585	2909	4339
PA1608	91	73	95	340	422	282
PA1609	5664	5703	7125	27535	31774	23435
PA1610	1487	1615	1714	4152	4520	2640
PA1611	1104	976	952	1887	1782	1290
PA1612	193	115	132	344	345	361
PA1613	1068	808	816	2265	2358	2494
PA1614	1679	1483	1290	2279	2474	2359
PA1615	271	307	317	715	773	523
PA1616	804	711	607	811	1061	1086
PA1617	6192	3378	2574	1243	791	982
PA1618	356	276	197	442	516	186
PA1619	297	279	204	220	342	225
PA1620	20	17	11	24	39	30
PA1621	480	411	326	555	526	522
PA1622	374	254	251	375	323	318
PA1623	4222	3686	2061	2290	1655	1666
PA1624	2169	1463	1121	1422	1845	1743
PA1625	776	586	544	519	608	695
PA1626	435	312	291	245	404	320
PA1627	386	226	209	266	254	160
PA1628	362	421	234	232	346	386
PA1629	194	226	116	129	116	175
PA1630	2017	1648	902	642	776	938
PA1631	421	340	167	333	346	352
PA1632	24	10	5	14	9	6
PA1633	1168	1644	971	553	641	791
PA1634	68	607	240	213	473	221
PA1635	10	236	56	33	75	37
PA1636	578	588	488	481	676	542
PA1637	336	304	214	338	527	419
PA1638	131	75	91	221	230	175
PA1639	640	338	318	1583	1542	945
PA1640	821	700	559	1675	1849	1630
PA1641	425	262	353	206	256	432
PA1642	2078	1427	1411	2102	2642	2536
PA1643	1247	817	773	1811	1813	1314
PA1643a	1464	1120	1011	515	492	727
PA1644	742	575	509	901	983	1111
PA1645	349	278	224	205	218	317
PA1646	288	227	169	398	410	450
PA1647	411	342	275	2452	1937	1969
PA1648	368	351	254	229	228	178
PA1649	191	126	85	171	264	143
PA1650	1595	959	899	425	358	381
PA1651	653	676	735	944	858	773
PA1652	239	120	104	275	333	214
PA1653	169	126	88	250	223	179
PA1654	1020	824	608	4141	4212	5155
PA1655	632	626	446	1690	1533	2101
PA1656	1614	955	1023	4395	4288	7081
PA1657	536	258	268	2739	2244	4560
PA1658	917	533	491	5222	3767	4965
PA1659	127	56	81	589	497	666
PA1660	355	267	226	1457	1304	2067
PA1661	192	164	101	577	485	654
PA1662	428	373	277	1442	1286	1970
PA1663	218	153	133	907	858	1311
PA1664	12	6	9	15	19	24
PA1665	114	61	82	622	578	680
PA1666	141	113	129	536	367	1000
PA1667	468	364	324	800	764	1081
PA1668	130	79	109	487	453	594
PA1669	631	436	461	2160	2282	3004
PA1670	126	119	105	354	436	586
PA1671	233	180	216	288	386	585
PA1672	629	733	530	517	425	461
PA1673	460	303	324	17675	10852	11936
PA1674	1445	768	993	3745	4004	3770
PA1675	211	202	194	854	819	755
PA1676	509	508	385	164	295	563
PA1677	2368	2113	1623	3664	3058	2890
PA1678	956	495	517	979	1377	832
PA1679	378	265	252	359	471	426
PA1680	132	204	174	230	344	258
PA1681	3718	2622	2356	4349	4825	3783
PA1682	249	140	198	393	474	399
PA1683	573	387	369	1004	1247	1158
PA1684	1224	1015	973	1879	1667	1370
PA1685	1329	891	1020	1108	1723	2233
PA1686	2930	2333	1796	1210	1583	1675
PA1687	464	263	306	2309	2581	1590
PA1688	1277	772	825	896	1183	968
PA1689	2189	1339	1696	3271	3650	2388
PA1690	68	51	40	130	113	104
PA1691	35	35	32	91	91	77
PA1692	13	15	9	30	54	49
PA1693	215	152	130	318	211	177
PA1694	67	67	62	164	173	241
PA1695	32	31	48	115	113	206
PA1696	17	7	12	46	43	60
PA1697	77	58	66	232	309	300
PA1698	73	49	61	111	151	103
PA1699	14	10	7	25	35	35
PA1700	4	6	13	29	35	28
PA1701	14	3	10	13	37	14
PA1702	10	0	2	8	5	3
PA1703	191	200	258	513	455	453
PA1704	36	38	37	52	33	50
PA1705	44	32	25	88	63	65
PA1706	160	143	105	306	251	256
PA1707	63	52	36	182	96	82
PA1708	671	523	507	811	976	999
PA1709	277	221	250	714	662	539
PA1710	456	324	299	561	465	527
PA1711	145	55	69	121	146	127
PA1712	396	237	319	429	451	611
PA1713	541	400	442	600	543	714
PA1714	580	387	450	813	1264	1377
PA1715	8	13	11	53	76	91
PA1716	145	153	91	622	656	636
PA1717	111	81	91	349	470	323
PA1718	4	1	1	52	20	27
PA1719	13	11	10	116	68	53
PA1720	28	19	19	77	115	132
PA1721	22	8	21	72	86	99
PA1722	57	53	59	133	223	248
PA1723	92	93	112	257	342	404
PA1724	16	8	15	76	143	100
PA1725	61	35	59	200	259	285
PA1726	965	663	683	1506	1920	1671
PA1727	613	363	431	773	892	623
PA1728	14945	16408	9112	293	286	564
PA1729	2588	2019	1493	948	1112	1322
PA1730	1427	1609	1365	336	394	269
PA1731	484	462	446	156	134	118
PA1732	827	889	865	192	213	202
PA1733	1531	1624	1247	311	314	306
PA1734	956	606	728	404	399	461
PA1735	474	577	314	218	289	227
PA1736	2996	1807	1442	528	402	369
PA1737	3282	1693	1625	647	735	729
PA1738	700	577	510	1122	916	958
PA1739	118	142	106	143	144	180
PA1740	826	603	456	429	480	405
PA1741	378	316	277	231	223	155
PA1742	3865	4440	2762	3525	3378	3014
PA1743	64	42	54	23	27	23
PA1744	32	48	43	51	47	55
PA1745	529	445	485	178	103	91
PA1746	4615	4499	6673	9415	6953	18751
PA1747	109	101	149	426	388	870
PA1748	1083	761	832	1717	1573	1226
PA1749	4769	5585	4216	2477	2259	2108
PA1750	3078	2029	2178	5605	6669	4809
PA1751	440	357	312	288	352	384
PA1752	1366	1173	1032	1101	1211	1122
PA1753	2397	2991	1894	915	965	1207
PA1754	3206	2729	2821	7142	4699	3018
PA1755	281	278	209	305	319	192
PA1756	795	736	840	999	941	641
PA1757	501	300	351	1130	1151	911
PA1758	677	720	568	1543	1559	1204
PA1759	2611	2237	1733	3524	2820	3604
PA1760	2521	2009	1448	2044	1685	2341
PA1761	762	764	505	606	331	339
PA1762	462	455	303	214	154	174
PA1763	350	343	341	214	119	141
PA1764	214	209	125	143	133	134
PA1765	231	141	141	166	191	167
PA1766	893	778	852	4687	3536	2181
PA1767	1382	1316	1681	6384	5684	3856
PA1768	583	444	614	1857	1198	560
PA1769	2460	3566	3364	1740	928	717
PA1770	17553	13176	12446	21837	25259	23037
PA1771	165	96	94	689	1060	769
PA1772	2461	2278	1777	3225	2075	1597
PA1773	1116	935	899	1174	1257	1571
PA1774	520	466	474	291	340	267
PA1775	4295	4709	4456	3833	3957	3617
PA1776	11342	12254	15667	10843	9968	15070
PA1777	137289	130892	134929	270170	268860	166656
PA1778	626	720	546	217	259	296
PA1779	483	449	369	257	252	331
PA1780	59	46	26	8	14	34
PA1781	177	134	146	98	97	100
PA1781.1	11	6	8	2	4	2
PA1782	55	78	62	79	62	76
PA1783	52	77	55	33	40	58
PA1784	900	885	749	193	108	122
PA1785	185	155	73	32	44	78
PA1786	87	69	51	78	95	105
PA1787	7590	6945	7623	32921	36934	34759
PA1788	613	368	352	519	525	612
PA1789	3316	2204	2407	20805	9927	14076
PA1790	284	147	166	662	1123	675
PA1791	136	108	90	6543	8923	5420
PA1792	769	693	694	1895	2296	1987
PA1793	1147	1541	1179	6628	3392	2786
PA1794	3887	3266	3166	11076	10089	8190
PA1795	2707	1972	2043	7580	9024	7126
PA1796	1590	1312	1305	2936	2973	1939
PA1796.1	4844	2901	4033	1906	2032	4268
PA1796.2	232	160	200	122	77	139
PA1796.3	218	120	83	111	111	126
PA1796.4	65	27	50	43	44	40
PA1797a	161	184	211	349	344	203
PA1797	397	424	350	1133	1244	765
PA1798	350	235	280	897	794	453
PA1799	218	179	186	507	329	189
PA1800	13186	8321	9416	40016	39892	27565
PA1801	9780	7440	5852	5045	6465	4652
PA1802	45470	45285	36825	34091	29885	27299
PA1803	50806	47479	42045	29156	28428	36402
PA1804	19183	19724	19590	24008	25396	22546
PA1804.1	714	420	584	113	250	302
PA1805	4726	3103	3314	12928	15642	12245
PA1806	910	602	607	3444	3626	4515
PA1807	740	510	591	2939	2511	2456
PA1808	421	377	376	1408	1083	1257
PA1809	560	359	304	1346	1153	1474
PA1810	809	753	653	3346	2510	1971
PA1811	721	646	551	2829	1444	1901
PA1812	2165	1755	2078	6964	5286	2623
PA1813	1176	875	786	708	626	549
PA1814	2930	2250	1438	1284	1096	1369
PA1815	559	321	294	804	881	551
PA1816	1336	928	767	1441	1641	1046
PA1817	730	499	316	354	391	401
PA1818	4320	2879	2390	5198	4175	3850
PA1819	6700	4257	3632	1807	1917	3744
PA1820	1413	925	793	2000	1500	1808
PA1821	1669	1172	989	2135	1587	1305
PA1822	3132	1900	2075	4974	6174	6637
PA1823	931	629	750	2108	2251	2375
PA1824	126	102	99	278	322	290
PA1825	293	166	206	259	329	217
PA1826	524	360	299	357	357	367
PA1827	144	101	78	74	91	122
PA1828	440	466	405	1591	1019	603
PA1829	698	729	593	1296	925	889
PA1830	3963	3259	4057	10044	7355	6734
PA1831	1252	891	977	917	905	940
PA1832	3079	2405	2194	2205	1736	1806
PA1833	4861	3553	2716	2658	2894	3553
PA1833a	557	504	377	405	470	511
PA1835	266	321	169	280	171	158
PA1836	270	274	210	210	220	321
PA1837	207	147	233	2389	2555	1875
PA1838	793	630	780	4147	5417	2674
PA1837a	2306	3176	1888	191	119	123
PA1839	670	416	382	549	763	612
PA1840	130	135	122	224	160	104
PA1841	436	398	305	683	856	430
PA1842	633	607	617	616	781	763
PA1843	4394	4419	3990	6710	6817	5430
PA1844	188	91	69	3454	4445	4154
PA1845	671	333	327	6187	5530	8672
PA1846	1477	1376	1149	2655	3118	2138
PA1847	9656	8445	4071	6704	4814	2981
PA1848	83	55	45	94	144	97
PA1849	4	15	6	9	12	10
PA1850	966	668	506	618	607	649
PA1851	665	727	413	226	313	354
PA1852	2031	2768	2645	2054	1463	861
PA1853	499	574	444	521	642	556
PA1854	297	324	196	204	256	223
PA1855	47	62	37	28	28	55
PA1856	476	640	401	338	301	343
PA1857	622	390	481	1969	2095	1101
PA1858	320	298	280	317	361	458
PA1859	286	234	186	342	209	180
PA1860	1182	967	818	183	160	193
PA1861	1122	942	697	635	681	982
PA1862	354	269	284	441	552	500
PA1863	692	1091	902	648	672	873
PA1864	141	170	122	107	108	118
PA1865	1442	1258	1025	724	897	1068
PA1866	1284	1265	889	780	884	1216
PA1866a	985	647	884	348	398	661
PA1867	13	20	12	5	9	16
PA1868	176	194	125	104	117	138
PA1869	7228	4256	5124	634	489	463
PA1870	1189	1936	1626	81	94	117
PA1871	5988	4445	5748	360	347	541
PA1872	2674	2088	1660	614	621	625
PA1873	383	323	266	133	94	116
PA1874	60521	39015	45960	1563	1932	2298
PA1875	4520	2858	3255	148	186	130
PA1876	5425	2828	3233	195	171	124
PA1877	3257	2000	2252	88	100	63
PA1878	1456	1041	870	166	212	130
PA1879	599	475	375	200	184	156
PA1880	4273	2980	2771	383	482	573
PA1881	798	620	656	142	104	109
PA1882	216	128	110	101	94	85
PA1883	25	30	10	40	38	51
PA1884	152	93	74	112	90	135
PA1885	171	137	97	245	263	256
PA1886	1116	868	704	941	878	1090
PA1887	347	308	211	115	130	145
PA1888	306	327	200	99	90	179
PA1889	1189	1384	1365	1116	1025	715
PA1890	719	696	516	831	922	716
PA1891	36	61	69	44	62	35
PA1892	59	86	90	34	44	36
PA1893	430	491	559	204	176	278
PA1894	134	379	316	63	22	36
PA1895	513	695	516	277	187	291
PA1896	254	270	231	107	88	134
PA1897	269	274	200	107	82	120
PA1898	396	305	394	44	46	43
PA1899	327	193	412	6	4	12
PA1900	284	300	586	35	28	35
PA1901	569	445	467	192	262	161
PA1902	304	293	536	43	34	34
PA1903	694	558	1118	143	165	138
PA1904	364	320	701	48	67	65
PA1905	595	497	1103	100	150	172
PA1906	609	466	706	183	250	244
PA1907	222	214	290	61	73	69
PA1908	52	47	47	12	20	21
PA1909	137	69	75	30	58	43
PA1910	463	344	300	166	137	159
PA1911	315	194	134	16	32	19
PA1912	613	582	361	30	44	29
PA1913	80	74	60	58	98	80
PA1914	1700	917	1028	75	61	110
PA1915	1023	916	665	827	737	986
PA1916	131	196	129	110	68	63
PA1917	41	77	45	30	19	51
PA1918	183	189	122	101	104	112
PA1919	235	206	183	370	361	473
PA1920	499	527	371	1521	786	1909
PA1921	180	195	205	75	76	45
PA1922	83	91	59	42	72	60
PA1923	104	107	85	49	85	89
PA1924	34	20	24	28	24	15
PA1925	88	99	64	37	16	33
PA1926	1083	719	581	1529	1846	1193
PA1927	1425	1497	462	313	409	324
PA1928	255	173	156	151	206	196
PA1929	251	165	125	109	107	118
PA1930	2100	1832	1489	268	169	175
PA1931	744	562	558	87	74	65
PA1932	427	485	316	137	166	162
PA1933	5510	6366	4078	3815	3795	4750
PA1934	385	286	321	461	487	655
PA1937	261	164	146	128	108	277
PA1938	365	268	249	368	328	371
PA1939	4080	3068	3264	3260	2023	2556
PA1940	1644	1314	1376	1150	715	1124
PA1941	1343	879	927	3278	2352	2649
PA1942	110	117	84	101	39	69
PA1943	859	835	706	670	564	610
PA1944	2312	2133	1906	1368	1003	893
PA1945	1126	1088	840	436	399	404
PA1946	4788	4379	3617	2487	1418	2886
PA1947	1809	1082	1111	755	636	633
PA1948	1326	934	995	573	431	657
PA1949	807	555	544	860	760	542
PA1950	2497	2114	1568	827	893	1255
PA1951	961	816	571	276	241	442
PA1952	27	35	36	13	26	18
PA1953	112	100	74	69	37	56
PA1954	245	181	122	66	60	99
PA1955	57	76	48	15	21	33
PA1956	41	29	34	19	17	22
PA1957	152	84	92	182	189	133
PA1958	441	320	268	351	463	388
PA1959	618	457	442	962	1249	894
PA1960	124	166	116	124	171	187
PA1961	342	231	155	448	394	348
PA1962	59	43	49	57	81	82
PA1963	1103	1218	773	764	532	315
PA1964	2375	1985	1505	3447	3946	2182
PA1965	411	276	241	247	408	311
PA1966	109	52	55	154	175	181
PA1967	264	41	90	190	217	344
PA1968	410	422	343	205	218	234
PA1969	910	638	451	699	714	650
PA1970	92	38	26	109	131	211
PA1971	265	274	173	610	729	464
PA1972	110	127	74	52	64	93
PA1973	373	280	256	310	463	430
PA1974	291	461	139	59	41	75
PA1975	408	735	297	49	45	68
PA1976	843	1638	486	112	127	152
PA1977	151	236	100	26	18	42
PA1978	497	883	514	243	135	132
PA1979	357	980	275	8	20	9
PA1980	302	608	177	17	10	32
PA1981	206	409	153	6	10	3
PA1982	4499	9735	3074	114	70	144
PA1983	1520	4833	1329	24	19	40
PA1984	4265	11361	3381	1661	563	684
PA1985	981	1725	1366	201	92	147
PA1986	2437	4256	2299	398	420	509
PA1987	540	1013	504	290	282	206
PA1988	63	82	58	14	24	40
PA1989	1136	1571	727	367	299	397
PA1990	683	970	523	201	231	210
PA1991	1131	897	738	684	584	659
PA1992	840	602	573	534	458	490
PA1993	498	428	322	286	406	294
PA1994	743	551	473	282	401	345
PA1995	1084	870	650	508	326	329
PA1996	260	209	159	213	190	154
PA1997	1439	1455	1021	1338	1245	1556
PA1998	1137	1238	550	205	271	257
PA1999	633	672	834	582	167	138
PA2000	326	398	503	463	132	68
PA2001	2378	2081	1808	978	730	681
PA2002	466	397	319	213	139	138
PA2003	607	402	389	206	190	218
PA2004	394	331	328	187	162	227
PA2005	1352	871	904	759	840	781
PA2006	348	151	121	361	106	112
PA2007	2387	673	755	832	347	310
PA2008	3339	1088	976	2921	992	589
PA2009	8367	3429	2400	7279	1588	1263
PA2010	626	270	283	540	324	329
PA2011	2256	2178	1750	963	810	922
PA2012	4316	4267	3745	1540	1219	2242
PA2013	1080	1220	1263	764	419	539
PA2014	3017	3811	3329	1971	1200	1217
PA2015	4756	6347	5099	3954	1971	2103
PA2016	637	732	482	670	259	347
PA2017	432	498	292	329	264	407
PA2018	575	579	418	1473	2204	1498
PA2019	120	112	111	390	776	358
PA2020	703	661	551	588	816	789
PA2021	154	239	150	75	77	53
PA2022	217	339	289	239	245	258
PA2023	3793	4595	4585	8383	8379	4391
PA2024	4659	5501	3130	358	350	452
PA2025	8959	7879	5028	4512	4081	5065
PA2026	318	213	206	2331	3383	2923
PA2027	934	564	544	85	50	72
PA2028	466	446	347	155	150	168
PA2029	382	439	330	260	254	226
PA2030	987	1863	1205	138	177	142
PA2031	309	401	254	33	65	61
PA2032	1079	930	819	938	1095	959
PA2033	5140	2158	1449	112	165	231
PA2034	260	138	72	21	25	13
PA2035	796	631	539	232	236	251
PA2036	225	148	174	41	43	113
PA2037	428	470	404	163	73	186
PA2038	198	164	138	316	253	221
PA2039	356	282	305	636	619	600
PA2040	4180	3850	4040	2762	5151	2754
PA2041	1195	1249	1118	605	747	556
PA2042	3021	1564	2063	4446	4766	2267
PA2043	648	504	432	532	796	674
PA2044	1557	1178	1244	2216	3221	3009
PA2045	665	570	533	164	145	180
PA2047	1421	1446	1946	400	334	480
PA2048	217	184	140	30	35	40
PA2049	2776	1592	1483	1241	1396	1495
PA2050	24	39	19	16	17	35
PA2051	53	57	26	30	60	65
PA2052	554	663	385	199	119	180
PA2053	392	1343	345	197	84	271
PA2054	510	340	248	143	200	239
PA2055	53	36	35	38	67	62
PA2056	392	215	185	644	873	1225
PA2057	318	335	226	217	175	222
PA2058	78	64	44	89	79	77
PA2059	51	94	51	35	41	71
PA2060	17	26	11	44	37	33
PA2061	43	53	25	54	50	83
PA2062	329	317	361	320	439	359
PA2063	262	147	164	792	1138	1003
PA2064	118	101	152	133	180	116
PA2065	343	262	267	133	143	146
PA2066	2902	2111	2695	92	125	116
PA2067	1216	790	978	20	18	14
PA2068	3938	2291	2967	37	50	41
PA2069	16995	13037	14158	84	148	124
PA2070	1121	1091	851	192	273	305
PA2071	3191	3367	3042	1655	1354	1435
PA2072	1631	1164	1042	203	169	187
PA2073	153	156	146	178	145	192
PA2074	119	42	81	37	83	89
PA2075	189	151	124	148	143	142
PA2076	525	273	386	595	561	655
PA2077	165	130	79	152	193	200
PA2078	277	265	171	131	162	178
PA2079	821	910	646	803	603	678
PA2080	1225	1399	1144	1922	1905	1957
PA2081	1494	1498	1006	2360	1732	1648
PA2082	156	160	178	467	492	525
PA2083	230	197	198	499	550	700
PA2084	384	353	257	237	302	225
PA2085	35	38	28	32	51	43
PA2086	29	13	27	40	57	58
PA2087	30	23	29	19	33	28
PA2088	252	299	136	50	81	73
PA2089	667	770	560	455	403	516
PA2090	25	7	20	36	56	41
PA2091	7	9	5	31	15	24
PA2092	61	62	39	19	22	35
PA2093	35	40	22	68	41	54
PA2094	126	151	85	77	79	94
PA2095	136	139	105	97	68	60
PA2096	263	165	178	201	194	217
PA2097	396	240	195	123	131	140
PA2098	22	35	21	15	18	13
PA2099	132	112	131	80	73	103
PA2100	1304	1179	872	784	579	629
PA2101	189	196	215	128	85	60
PA2102	182	186	177	145	85	119
PA2103	441	386	382	502	323	360
