Geneid	B1P.sam	B2P.sam	B3P.sam	P1P.sam	P2P.sam	P3P.sam
PA0174	74	40	50	17	13	15
PA0175	529	327	384	51	72	40
PA0176	2092	926	1614	192	309	168
PA0177	239	163	193	51	57	47
PA0178	888	420	594	188	219	99
PA0179	1177	631	734	233	228	113
PA0180	543	290	398	441	488	296
PA0181	450	146	312	879	1015	412
PA0182	265	127	211	202	256	137
PA0183	338	216	272	547	717	319
PA0184	89	29	69	160	135	87
PA0185	69	19	35	65	112	84
PA0186	321	102	209	237	265	119
PA0187	714	524	601	72	65	46
PA0188	740	411	461	54	66	32
PA0189	388	165	198	157	168	93
PA0190	127	83	119	122	173	93
PA0191	63	40	65	117	179	82
PA0192	128	82	88	252	274	94
PA0193	53	24	29	106	95	54
PA0194	72	56	62	126	198	101
PA0195	1059	567	897	707	832	358
PA0195.1	83	60	93	72	68	57
PA0196	339	218	273	372	436	232
PA0197	34	20	22	69	127	53
PA0198	173	59	111	282	530	154
PA0199	802	211	378	1332	3257	588
PA0200	634	204	378	3031	8444	5429
PA0201	269	131	204	966	3842	681
PA0202	120	47	109	672	1588	338
PA0203	77	22	48	52	61	42
PA0204	80	44	46	68	122	84
PA0205	161	62	96	211	310	144
PA0206	228	96	204	158	248	95
PA0207	909	385	625	636	1018	326
PA0208	2174	3147	5305	480	444	310
PA0209	287	289	597	20	30	19
PA0210	260	246	612	1	5	3
PA0211	1182	920	2186	53	49	33
PA0212	1218	1201	2140	47	37	33
PA0213	97	117	143	5	13	6
PA0214	640	541	932	41	198	71
PA0215	325	229	367	41	68	41
PA0216	1353	793	1521	203	310	76
