Geneid	B1C.sam	B2C.sam	B3C.sam	P1C.sam	P2C.sam	P3C.sam
PA1355	142	204	43	4	13	20
PA1356	537	627	187	42	80	58
PA1357	956	878	594	402	782	987
PA1358	612	538	231	270	316	423
PA1359	353	244	133	252	485	470
PA1360	294	225	110	272	574	645
PA1361	379	390	235	418	771	767
PA1362	280	115	184	92	74	96
PA1363	937	412	108	143	127	115
PA1364	446	219	34	76	159	114
PA1365	1172	513	255	440	515	458
PA1366	3288	2586	836	1518	1005	1430
PA1367	311	242	150	312	502	606
PA1368	334	314	131	323	176	283
PA1369	89	107	135	164	45	32
PA1370	291	334	311	746	155	197
PA1371	79	68	174	68	2	5
PA1372	333	327	426	517	52	18
PA1373	420	462	166	246	502	601
PA1374	164	163	48	165	217	185
PA1375	828	1252	218	303	547	910
PA1376	3296	3166	1100	2050	1579	2366
PA1377	1310	1019	295	474	743	837
PA1378	357	315	68	209	300	306
PA1379	146	160	67	60	75	109
PA1380	426	384	110	153	206	267
PA1381	26	18	14	56	30	43
PA1382	2033	1655	492	1463	1046	1659
PA1383	1666	998	492	977	819	1019
PA1384	54	41	71	62	22	28
PA1385	95	90	107	54	13	27
PA1386	74	72	62	96	25	46
PA1387	954	596	319	565	417	597
PA1388	145	161	96	102	81	128
PA1389	544	409	242	263	288	288
PA1390	353	325	186	118	172	219
PA1391	204	246	103	77	174	208
PA1392	474	527	174	289	279	335
PA1393	160	111	96	73	61	77
PA1394	82	75	53	81	90	117
PA1395	68	58	27	198	217	218
PA1396	615	363	138	500	774	836
PA1397	806	811	313	348	437	446
PA1398	607	402	80	343	399	319
PA1399	362	380	90	159	272	400
PA1400	489	425	164	190	271	370
PA1401	354	382	65	122	129	193
PA1402	485	379	94	169	110	174
PA1403	338	326	173	74	157	200
PA1404	843	477	356	42	21	38
PA1405	353	304	125	696	1075	1337
PA1406	314	273	168	162	206	234
PA1407	171	223	97	100	199	148
PA1408	1565	1700	561	201	267	361
PA1409	176	125	43	316	409	411
PA1410	144	200	44	765	553	705
PA1411	467	440	176	277	374	477
PA1412	64	87	17	37	61	130
PA1413	773	537	289	181	387	472
PA1414	854	1126	883	659	383	1076
PA1415	1329	1028	591	658	873	1430
PA1416	240	262	117	209	448	933
PA1417	103	130	31	409	701	1106
PA1418	218	252	58	1161	1566	2585
PA1419	128	102	46	438	792	1051
PA1420	52	36	16	209	316	469
PA1421	412	372	207	6116	6654	9267
PA1422	483	377	181	198	496	307
PA1423	274	156	76	148	191	235
PA1424	327	244	105	75	203	230
PA1424a	196	184	37	156	180	246
PA1425	335	249	70	182	390	320
PA1428a	437	292	194	306	366	472
PA1428	274	74	47	119	159	151
PA1429	1439	1030	316	10744	12058	18023
PA1430	10152	10702	8878	3045	3167	4533
PA1431	612	874	677	790	255	403
PA1432	5320	8702	4987	27505	16251	15740
PA1433	1366	1665	657	1183	2681	2898
PA1434	377	401	268	157	195	228
PA1435	230	282	63	55	65	114
PA1436	743	604	180	167	207	326
PA1437	899	803	195	331	317	440
PA1438	743	702	196	192	365	466
PA1439	466	326	204	77	195	229
PA1440	8857	7374	2492	5544	4090	3551
PA1441	2155	1169	479	3152	5524	5763
PA1442	864	860	185	588	794	797
PA1443	2383	2179	663	2887	3427	3381
PA1444	1426	1076	468	1171	2037	2106
PA1445	455	448	81	314	533	652
PA1446	1166	866	347	1201	1569	1457
PA1447	373	359	79	328	491	466
PA1448	344	230	48	197	401	356
PA1449	437	334	96	257	386	383
PA1450	538	504	226	392	744	846
PA1451	278	204	148	298	566	595
PA1452	5746	2966	1331	5421	7048	5823
PA1453	8170	6990	1727	5460	7910	9431
PA1454	6568	5561	1225	5936	5757	5451
PA1455	3388	2849	1069	4955	3816	5776
PA1456	1232	1001	455	1533	1346	2005
PA1457	5216	3788	1441	5265	7285	7019
PA1458	4828	3143	1149	5691	7357	7256
PA1459	2774	2282	581	2724	3096	3611
PA1460	1186	887	198	1187	1456	1580
PA1461	1287	926	371	1074	1329	1310
PA1462	4067	2329	1126	3438	4115	4381
PA1463	1976	1426	504	1431	1936	2365
PA1464	6198	3694	1489	7080	7187	5756
PA1465	319	425	76	177	272	541
PA1466	204	150	76	213	490	378
PA1467	398	319	132	105	216	262
PA1468	126	62	34	31	68	64
PA1469	622	699	110	138	186	243
PA1470	648	856	259	129	200	229
PA1471	1835	3157	3049	118	117	175
PA1472	247	173	124	106	100	180
PA1473	309	173	83	72	86	101
PA1474	1671	1408	930	417	464	761
PA1475	1362	850	361	506	1084	734
PA1476	1228	1095	504	175	336	404
PA1477	1898	1674	1058	804	1342	1490
PA1478	34	24	17	30	31	39
PA1479	904	808	325	914	1037	909
PA1480	3562	4553	1750	2919	3793	4073
PA1481	1113	1473	617	1166	1219	1272
PA1482	1178	1107	315	858	1335	1281
PA1483	1476	2039	709	1158	1813	2205
PA1483a	438	670	294	145	183	486
PA1484	588	532	179	291	347	420
PA1485	183	161	32	46	51	47
PA1486	191	284	64	69	124	168
PA1487	314	338	136	300	302	502
PA1488	202	234	48	125	246	312
PA1489	253	187	47	282	457	456
PA1490	245	127	71	300	321	387
PA1491	971	518	177	254	264	359
PA1492	244	184	61	237	240	198
PA1493	16494	14226	4343	7392	4375	5961
PA1494	72185	65662	10981	904	790	727
PA1495	156	163	48	19	52	62
PA1496	610	480	139	274	191	159
PA1497	134	97	37	19	27	45
PA1498	159	152	38	80	86	123
PA1499	92	102	54	46	58	61
PA1500	118	101	62	131	119	223
PA1501	642	468	199	247	252	437
PA1502	365	347	97	174	163	273
PA1503	53	36	26	24	49	52
PA1504	931	584	346	1010	798	666
PA1505	3382	3156	767	2925	2775	4894
PA1506	190	162	41	93	195	199
PA1507	391	457	154	273	309	378
PA1508	118	66	27	102	48	102
PA1509	638	322	415	412	184	305
PA1510	538	347	269	614	331	529
PA1511	2060	1384	364	1116	911	1288
PA1512	244	248	199	167	114	133
PA1513	1080	1037	537	812	822	1127
PA1514	290	252	98	280	209	271
PA1515	574	575	339	541	551	985
PA1516	136	103	52	248	222	289
PA1517	755	473	395	1235	828	1331
PA1518	762	501	264	547	630	714
PA1519	218	182	82	185	112	180
PA1520	4076	2889	1218	2948	3085	3620
PA1521	787	822	382	488	711	662
PA1522	1044	881	466	318	475	424
PA1523	1537	1278	451	624	578	890
PA1524	794	612	166	548	407	951
PA1525	870	652	370	307	208	431
PA1526	2050	1059	618	1374	939	1393
PA1527	9049	9988	3103	5466	6990	7722
PA1528	7830	7542	2250	7177	7355	7328
PA1529	2750	2715	814	2386	4111	3990
PA1530	394	310	157	412	582	658
PA1530.1	132	66	116	18	44	56
PA1531	18	10	19	6	9	15
PA1532	5008	4922	1691	4507	6280	6424
PA1533	4171	4441	2008	7647	5771	5841
PA1534	2056	2491	987	1562	2558	2617
PA1535	615	570	221	485	725	790
PA1536	797	757	360	377	362	440
PA1537	173	201	57	91	86	108
PA1538	702	377	245	218	130	280
PA1539	803	465	192	93	160	310
PA1540	53	25	8	5	9	9
PA1541	1355	160	166	77	79	106
PA1542	291	200	113	408	152	206
PA1543	1505	1470	616	1380	1416	1154
PA1544	15309	14879	8332	7699	5081	6483
PA1545	498	356	185	350	345	609
PA1546	3342	3441	1164	43607	23547	29731
PA1547	369	322	108	75	196	242
PA1548	268	198	43	96	109	138
PA1549	1356	1654	714	1165	1860	1576
PA1550	1820	1467	462	1410	1560	1254
PA1551	8597	5677	3072	7306	5030	7149
PA1552	6631	7505	2636	16019	24576	27307
PA1552.1	559	634	213	2952	2454	2337
PA1553	2090	2275	683	4650	6459	7060
PA1554	7894	7402	2951	16351	22298	17762
PA1555	2057	1547	857	16672	9851	10117
PA1555.1	195	169	57	3560	1043	1076
PA1556	776	633	271	6950	4850	5719
PA1557	2703	1984	891	27688	18359	21302
PA1558	329	330	74	91	144	248
PA1561	756	473	255	4424	4800	5503
PA1562	23492	25798	7192	3089	3623	4688
PA1563	671	571	221	476	842	850
PA1564	376	198	132	370	276	345
PA1565	523	542	258	406	581	600
PA1566	292	558	150	182	275	216
PA1567	430	259	117	283	316	625
PA1568	87	47	32	21	26	27
PA1569	201	121	47	58	68	92
PA1570	1959	1088	399	421	768	852
PA1571	2580	1876	642	903	486	572
PA1572	5345	5965	1765	1051	1429	2370
PA1573	921	761	387	190	342	491
PA1574	988	698	289	4147	762	1071
PA1575	932	696	441	145	187	272
PA1576	3501	3510	1032	595	1096	1134
PA1577	721	815	228	214	197	259
PA1578	513	519	244	54	154	234
PA1578a	122	108	37	56	112	92
PA1579	7992	8547	2561	6949	7413	6942
PA1580	10090	7681	4319	36476	18467	20616
PA1581	4322	4234	1768	6534	5055	4476
PA1582	2691	3973	1682	4074	5259	4313
PA1583	16155	23891	6478	34810	47836	47687
PA1584	7360	12756	4704	21659	22322	26481
PA1585	26088	40272	9538	32203	48477	51613
PA1586	7580	11470	3836	12251	17103	18021
PA1587	16873	22441	8657	20690	41697	43261
PA1588	13804	24336	5187	53185	76953	70299
PA1589	13602	20347	4800	43908	74306	70538
PA1590	6426	8034	3069	1205	2565	1769
PA1591	364	627	267	196	353	153
PA1592	27295	20180	21557	12605	2451	4558
PA1593	418	250	106	317	293	253
PA1594	265	229	65	138	236	217
PA1595	316	376	90	277	410	491
PA1596	39782	31351	12504	14722	45551	31699
PA1597	3419	3067	770	551	1947	1318
PA1598	1163	819	192	165	486	365
PA1599	228	305	97	96	223	245
PA1600	112	106	31	182	271	312
PA1601	324	420	130	704	766	1099
PA1602	157	96	50	270	185	323
PA1603	563	333	263	179	161	187
PA1604	1059	691	310	1794	1565	2740
PA1605	600	636	117	175	186	217
PA1606	93	70	46	86	67	78
PA1607	1183	1155	911	2301	2825	3401
PA1608	218	167	39	386	479	388
PA1609	8803	13990	4477	27908	32489	27333
PA1610	2756	3478	1317	4541	5822	4341
PA1611	2074	1942	492	1679	1472	1677
PA1612	185	142	89	223	240	372
PA1613	1273	1198	462	1474	1528	2049
PA1614	2020	2056	603	1551	2191	2202
PA1615	606	585	139	711	793	730
PA1616	724	727	306	373	761	1066
PA1617	5789	6742	2557	976	630	1264
PA1618	664	856	161	362	446	403
PA1619	336	409	110	166	222	387
PA1620	11	23	14	10	37	28
PA1621	737	880	179	336	467	532
PA1622	496	572	120	176	260	343
PA1623	6004	3094	1598	2419	2121	2728
PA1624	2926	2591	603	594	1168	1386
PA1625	872	693	244	218	423	376
PA1626	297	370	181	105	316	312
PA1627	469	491	104	243	242	169
PA1628	413	430	134	197	216	331
PA1629	159	197	57	74	86	150
PA1630	1583	496	366	578	840	940
PA1631	511	198	79	261	401	404
PA1632	9	15	13	7	9	12
PA1633	1699	892	532	373	529	747
PA1634	136	753	129	161	240	291
PA1635	20	241	59	25	48	33
PA1636	663	1056	358	286	482	612
PA1637	370	511	130	201	300	424
PA1638	140	137	45	142	249	227
PA1639	866	416	139	675	1102	753
PA1640	1097	1100	372	872	1300	1769
PA1641	367	441	261	100	84	139
PA1642	2743	2818	937	1748	2304	2561
PA1643	2264	2234	501	1204	1911	1695
PA1643a	1763	1251	711	350	491	582
PA1644	756	645	378	652	836	951
PA1645	249	198	129	68	137	217
PA1646	335	380	207	235	338	458
PA1647	575	522	235	1173	1193	1650
PA1648	583	512	251	135	155	202
PA1649	204	243	71	117	134	140
PA1650	1423	1214	677	230	324	450
PA1651	1053	915	340	619	674	937
PA1652	363	291	87	143	310	307
PA1653	279	183	41	278	247	309
PA1654	929	793	304	2804	3049	4417
PA1655	761	600	211	1308	1209	1689
PA1656	850	830	945	2038	2834	3428
PA1657	367	427	151	1313	911	1158
PA1658	1054	899	376	2348	1922	2083
PA1659	125	127	60	206	259	278
PA1660	359	373	144	627	677	828
PA1661	222	174	74	239	280	353
PA1662	446	519	186	761	750	1182
PA1663	205	247	119	382	426	615
PA1664	4	11	2	16	12	21
PA1665	96	219	68	295	208	380
PA1666	102	113	104	181	171	315
PA1667	690	527	237	433	355	701
PA1668	135	190	64	257	136	232
PA1669	747	690	284	780	785	1186
PA1670	146	209	57	102	149	267
PA1671	253	245	120	78	162	247
PA1672	764	771	311	547	428	525
PA1673	648	457	241	15114	11500	17409
PA1674	2610	1984	712	2667	3591	3388
PA1675	563	540	101	682	754	595
PA1676	370	334	273	105	160	345
PA1677	3193	2148	1107	2666	2767	3963
PA1678	1388	1172	362	534	1233	918
PA1679	326	263	169	270	542	487
PA1680	180	233	117	86	154	226
PA1681	5517	4955	1537	3351	4939	4595
PA1682	367	279	100	244	466	454
PA1683	599	597	249	660	970	1080
PA1684	1471	1087	740	1362	1382	1473
PA1685	1029	1142	566	632	1224	1364
PA1686	2675	2249	1292	507	999	1387
PA1687	832	541	225	2287	2594	2342
PA1688	1371	1403	555	879	1320	1109
PA1689	2855	2865	1140	3174	4694	4314
PA1690	74	91	32	254	258	209
PA1691	60	45	30	92	154	118
PA1692	18	8	1	61	68	67
PA1693	463	378	80	510	454	370
PA1694	99	116	65	395	391	434
PA1695	43	46	42	405	381	414
PA1696	11	5	11	79	103	117
PA1697	96	55	60	502	910	663
PA1698	121	63	74	240	437	281
PA1699	15	10	2	62	101	60
PA1700	24	21	4	39	92	72
PA1701	10	9	21	19	48	63
PA1702	6	7	9	15	26	19
PA1703	556	371	152	1098	1090	952
PA1704	74	50	18	52	82	64
PA1705	123	62	27	136	153	189
PA1706	374	308	157	793	653	476
PA1707	202	121	72	444	391	318
PA1708	1061	1009	633	1911	2479	2585
PA1709	703	676	291	1983	1838	1425
PA1710	1165	692	580	1093	1205	891
PA1711	216	143	75	120	231	235
PA1712	693	459	440	566	980	886
PA1713	767	407	496	1410	1534	1421
PA1714	870	760	366	1301	1886	1693
PA1715	14	32	11	105	147	130
PA1716	306	239	90	1044	1452	1272
PA1717	150	135	79	410	671	748
PA1718	12	17	6	149	69	71
PA1719	16	23	13	447	231	268
PA1720	22	17	17	99	145	177
PA1721	29	31	12	68	144	142
PA1722	71	55	31	222	339	347
PA1723	127	116	72	515	738	715
PA1724	16	20	11	97	153	161
PA1725	68	62	47	208	371	377
PA1726	930	858	448	1128	1636	1853
PA1727	838	757	213	509	870	698
PA1728	6396	6835	5189	175	143	262
PA1729	2949	2205	901	399	666	1098
PA1730	2836	2906	745	264	267	284
PA1731	696	842	218	112	107	127
PA1732	1142	1629	427	82	138	154
PA1733	2349	2356	696	166	196	246
PA1734	810	975	412	254	237	351
PA1735	842	472	207	98	184	211
PA1736	1833	1888	649	295	290	447
PA1737	2268	3302	761	398	424	529
PA1738	1161	704	327	779	588	759
PA1739	164	159	35	94	104	133
PA1740	1240	882	254	281	473	389
PA1741	864	623	200	279	146	215
PA1742	4801	4237	1711	3517	1843	3074
PA1743	48	39	37	9	10	25
PA1744	60	58	37	39	34	50
PA1745	987	833	356	93	52	68
PA1746	2768	6134	3476	5410	4918	8637
PA1747	129	138	155	398	310	381
PA1748	1788	1245	685	1578	1588	1108
PA1749	8983	5582	2094	2526	2731	3357
PA1750	3551	3218	1654	5433	6633	5603
PA1751	457	436	168	129	259	343
PA1752	2372	2435	631	760	924	1179
PA1753	3252	1760	1048	466	579	740
PA1754	7187	6499	2021	5969	4488	5575
PA1755	468	264	113	164	290	319
PA1756	1048	661	652	1139	1198	990
PA1757	701	485	245	1462	1259	1317
PA1758	1123	870	453	1076	1602	1502
PA1759	2793	2676	1157	2690	2659	4370
PA1760	2655	3420	911	1457	1854	2679
PA1761	1588	1288	375	633	547	794
PA1762	602	450	223	191	216	290
PA1763	457	300	213	209	133	179
PA1764	244	207	87	118	82	101
PA1765	371	382	96	135	125	213
PA1766	1681	2469	591	3794	3343	3479
PA1767	2376	3129	1183	5645	4260	3997
PA1768	1702	1235	581	2491	1117	1038
PA1769	3846	4402	1790	1904	770	901
PA1770	23160	21376	7464	16259	24356	26748
PA1771	171	182	97	448	1071	1014
PA1772	3894	3762	1137	2557	2274	2443
PA1773	857	1229	330	760	777	1145
PA1774	768	684	283	324	448	348
PA1775	5252	6288	2638	3613	4661	3595
PA1776	8831	11614	10501	12439	11536	12447
PA1777	232512	311169	102764	266399	309711	255142
PA1778	541	494	319	128	305	235
PA1779	806	663	216	157	170	278
PA1780	62	36	20	10	7	15
PA1781	275	222	94	68	94	122
PA1781.1	7	0	3	1	1	0
PA1782	127	119	42	37	52	67
PA1783	104	67	31	16	29	45
PA1784	2442	1581	679	167	116	127
PA1785	149	99	82	37	49	68
PA1786	117	113	34	78	113	103
PA1787	12130	17977	5443	31827	47429	55341
PA1788	829	754	193	447	479	570
PA1789	5101	3611	1688	17911	7550	14547
PA1790	406	363	75	497	981	595
PA1791	177	125	86	1828	2692	1639
PA1792	927	1203	522	1345	1722	1769
PA1793	2915	2654	1043	11910	5080	4722
PA1794	7826	7463	2427	11740	11181	10971
PA1795	5025	6765	1359	6979	9334	9589
PA1796	2197	1880	908	3271	3498	2503
PA1796.1	2041	1010	2686	1884	4266	2683
PA1796.2	83	68	247	37	107	105
PA1796.3	93	30	63	89	167	75
PA1796.4	33	14	36	35	73	37
PA1797a	307	307	57	171	221	209
PA1797	637	532	147	346	441	413
PA1798	541	441	160	733	649	598
PA1799	503	449	162	423	251	260
PA1800	18679	17934	6965	33678	41152	33615
PA1801	10268	8011	4130	3590	5932	5883
PA1802	65463	67416	24594	31020	28223	29447
PA1803	74647	59436	34757	36679	37948	41162
PA1804	31140	16708	20222	21140	36020	33033
PA1804.1	1207	2190	1259	92	196	233
PA1805	6821	7791	2075	11263	16266	14550
PA1806	746	766	381	1869	2138	2385
PA1807	922	1071	385	2496	1880	2123
PA1808	496	438	297	903	712	857
PA1809	512	547	226	834	640	842
PA1810	1255	1360	406	2458	1851	2201
PA1811	931	762	321	2235	1172	2052
PA1812	4464	3255	1291	6402	5315	4434
PA1813	1477	1580	443	594	646	642
PA1814	3966	2537	697	1035	1087	1524
PA1815	1064	1046	166	818	1012	807
PA1816	1778	1341	445	933	1746	1460
PA1817	763	644	197	246	278	392
PA1818	5232	5413	1664	5171	6196	7699
PA1819	2663	2547	2223	850	1773	2525
PA1820	1474	970	310	1388	1369	1958
PA1821	2781	3154	749	2657	2171	2189
PA1822	3658	4480	1279	3806	5538	6589
PA1823	1349	1593	393	1162	2120	2669
PA1824	202	131	62	178	259	280
PA1825	399	445	89	109	282	239
PA1826	743	481	209	182	298	396
PA1827	135	126	46	63	98	124
PA1828	925	1117	262	1342	716	851
PA1829	884	1069	470	1161	511	904
PA1830	4379	6146	2973	9969	9219	8750
PA1831	1538	1158	677	871	655	885
PA1832	4027	4419	1563	2300	1884	2502
PA1833	4806	5013	1886	1594	2284	3309
PA1833a	622	672	254	227	276	452
PA1835	361	198	92	193	130	194
PA1836	327	211	140	137	241	254
PA1837	303	485	115	2157	2741	3278
PA1838	1124	1095	406	6331	7699	6948
PA1837a	3736	2529	1104	133	65	188
PA1839	710	451	234	325	852	581
PA1840	328	264	90	327	172	178
PA1841	788	837	196	452	682	576
PA1842	862	1165	428	299	521	723
PA1843	7538	10345	2488	5954	6655	7096
PA1844	116	83	68	234	549	575
PA1845	289	170	254	844	1035	1310
PA1846	1926	1877	715	2289	2808	2425
PA1847	34432	10674	2469	8336	6160	7157
PA1848	108	73	35	44	85	103
PA1849	16	12	7	11	10	21
PA1850	974	715	259	278	402	531
PA1851	726	533	311	156	230	310
PA1852	6783	6168	1996	2961	1926	1664
PA1853	882	884	279	322	797	625
PA1854	503	405	72	114	246	267
PA1855	44	57	35	12	19	35
PA1856	987	590	250	343	300	447
PA1857	755	785	349	1138	1333	1056
PA1858	364	312	160	151	264	313
PA1859	362	324	141	251	194	200
PA1860	1576	1207	503	77	115	163
PA1861	1522	1129	420	325	484	701
PA1862	478	454	173	232	445	489
PA1863	828	892	706	663	523	761
PA1864	157	101	57	70	45	85
PA1865	1386	1489	528	294	548	665
PA1866	1464	1402	455	386	506	760
PA1866a	472	402	709	298	304	325
PA1867	12	19	31	4	8	4
PA1868	282	254	78	96	186	204
PA1869	5782	5824	2781	812	778	666
PA1870	1558	2043	944	37	40	70
PA1871	8122	12405	4792	308	331	472
PA1872	2789	2678	1094	379	522	733
PA1873	548	389	174	66	98	132
PA1874	51979	64635	23705	866	1388	1827
PA1875	3957	5665	1496	84	129	125
PA1876	4614	6005	1732	144	154	168
PA1877	2980	3410	1239	64	59	78
PA1878	1786	2101	506	164	151	144
PA1879	604	587	200	84	177	154
PA1880	4412	5873	1554	255	354	431
PA1881	1332	1186	375	128	94	127
PA1882	502	297	56	75	103	124
PA1883	36	20	11	31	22	42
PA1884	139	122	31	54	57	92
PA1885	312	260	43	223	213	324
PA1886	1160	1020	403	567	739	874
PA1887	410	242	96	71	105	106
PA1888	348	308	135	77	100	130
PA1889	1670	1497	738	821	764	702
PA1890	1114	1475	363	433	552	653
PA1891	77	123	28	13	14	19
PA1892	184	365	90	44	29	53
PA1893	744	1907	432	162	196	268
PA1894	552	1485	331	168	72	82
PA1895	1237	1560	381	342	225	451
PA1896	423	633	196	137	97	174
PA1897	408	764	177	234	99	125
PA1898	495	672	284	51	80	79
PA1899	476	1097	369	14	8	7
PA1900	655	2406	661	61	20	37
PA1901	1288	2682	379	151	204	303
PA1902	470	1124	441	20	27	50
PA1903	1244	3580	854	106	99	207
PA1904	546	1694	544	44	58	77
PA1905	714	2217	901	45	96	123
PA1906	639	1073	533	93	221	198
PA1907	234	518	144	53	66	85
PA1908	57	42	16	10	14	23
PA1909	211	104	20	17	44	40
PA1910	765	377	131	115	125	169
PA1911	416	287	39	10	17	29
PA1912	1120	439	131	24	51	46
PA1913	204	65	44	145	218	219
PA1914	1024	772	681	43	54	82
PA1915	1627	1457	418	726	591	988
PA1916	436	208	91	97	93	120
PA1917	85	57	28	21	21	29
PA1918	271	144	106	57	80	90
PA1919	409	375	85	170	192	285
PA1920	712	356	186	787	596	856
PA1921	233	265	83	23	18	36
PA1922	138	93	44	44	67	57
PA1923	115	120	37	41	65	89
PA1924	33	32	13	6	6	27
PA1925	151	74	33	27	22	36
PA1926	1936	1664	387	1259	2040	1548
PA1927	6827	1448	369	172	294	321
PA1928	405	314	117	67	132	199
PA1929	263	217	100	47	98	99
PA1930	3350	2571	985	175	122	228
PA1931	1009	1148	287	56	43	84
PA1932	703	754	165	67	101	133
PA1933	10267	9775	2274	1744	2730	4369
PA1934	303	320	273	494	492	619
PA1937	153	145	111	123	91	141
PA1938	428	363	141	233	237	344
PA1939	4462	4430	2434	3088	1477	2155
PA1940	1588	1346	1048	966	570	894
PA1941	1464	1120	795	2778	1428	2252
PA1942	112	88	64	98	36	53
PA1943	1170	1018	526	545	504	764
PA1944	4035	4442	1107	797	600	986
PA1945	1182	1075	549	292	270	384
PA1946	5074	6586	2453	2538	1652	3645
PA1947	2088	4010	692	491	568	1048
PA1948	1554	2317	554	519	492	715
PA1949	1859	3275	366	701	697	948
PA1950	2627	3444	885	448	752	1154
PA1951	948	742	344	180	219	324
PA1952	69	39	19	9	9	23
PA1953	219	234	54	50	41	36
PA1954	136	93	76	61	62	68
PA1955	65	49	47	28	14	20
PA1956	51	50	21	25	20	24
PA1957	186	208	74	71	174	137
PA1958	581	567	171	195	415	426
PA1959	655	479	294	1232	1801	1162
PA1960	170	101	82	123	151	168
PA1961	662	478	107	270	277	436
PA1962	94	86	18	48	68	62
PA1963	1629	1505	423	992	622	742
PA1964	4165	2830	835	3383	5270	3348
PA1965	416	305	117	141	307	274
PA1966	136	96	35	157	263	301
PA1967	258	132	50	521	629	558
PA1968	783	638	208	143	213	207
PA1969	864	1059	251	788	736	1734
PA1970	63	63	41	75	89	97
PA1971	365	368	111	428	608	435
PA1972	135	167	54	45	54	71
PA1973	334	590	147	286	398	704
PA1974	425	1756	47	48	46	50
PA1975	536	2645	86	56	48	79
PA1976	1069	6190	193	112	120	183
PA1977	154	506	33	23	38	53
PA1978	838	1530	310	370	277	326
PA1979	668	2451	74	11	15	16
PA1980	383	1899	54	15	6	17
PA1981	214	1525	23	0	2	10
PA1982	5627	24782	895	49	58	95
PA1983	1453	6583	369	15	10	20
PA1984	6421	26354	1260	2508	1995	3510
PA1985	2866	3180	1330	119	55	126
PA1986	1939	7027	1621	291	280	522
PA1987	1113	3155	204	292	297	355
PA1988	37	243	42	9	5	26
PA1989	1053	3453	406	327	264	446
PA1990	783	3395	215	157	197	328
PA1991	1212	1537	450	578	628	810
PA1992	965	1544	413	461	564	830
PA1993	531	387	193	188	368	289
PA1994	833	910	303	341	345	373
PA1995	1325	771	431	378	434	499
PA1996	370	392	94	232	246	228
PA1997	1877	1625	445	878	938	1278
PA1998	1391	649	208	222	293	327
PA1999	1052	1515	485	1085	841	1284
PA2000	745	1147	256	903	684	777
PA2001	2757	2988	1090	1079	1204	1959
PA2002	513	532	209	330	345	400
PA2003	580	652	241	161	228	263
PA2004	549	574	179	227	237	307
PA2005	1631	1209	506	587	1056	901
PA2006	338	226	121	344	679	478
PA2007	1644	1034	618	857	1527	2126
PA2008	3446	1722	804	3265	4553	6087
PA2009	7535	2684	2160	8567	8206	12302
PA2010	581	374	209	336	601	813
PA2011	2289	3313	1070	759	909	1257
PA2012	4470	10043	2459	1969	1365	2382
PA2013	2008	4782	741	1132	504	801
PA2014	5457	9729	2037	2260	1493	2373
PA2015	9117	12800	2765	6286	3105	4532
PA2016	1306	874	313	1167	332	489
PA2017	762	639	125	212	214	401
PA2018	815	916	320	1059	1756	1597
PA2019	292	277	89	245	644	436
PA2020	755	609	333	280	549	614
PA2021	225	184	77	39	57	48
PA2022	403	317	191	199	239	248
PA2023	6182	6983	2236	7356	7780	5514
PA2024	4890	2255	1816	208	281	451
PA2025	9946	7733	2397	3431	4004	4744
PA2026	554	537	181	2036	2197	4707
PA2027	1452	1086	859	39	28	64
PA2028	550	221	216	202	104	125
PA2029	695	463	248	327	272	316
PA2030	2117	1939	577	113	177	175
PA2031	547	702	131	62	39	56
PA2032	1412	1140	450	519	841	979
PA2033	3963	1643	946	78	100	141
PA2034	373	306	57	8	18	15
PA2035	1164	1547	509	117	167	261
PA2036	70	50	128	36	21	23
PA2037	227	123	459	143	60	62
PA2038	128	95	123	215	258	205
PA2039	382	216	186	619	876	752
PA2040	6984	6727	3325	3055	2783	3391
PA2041	1790	1639	802	768	611	813
PA2042	4369	3484	1431	4162	7081	4330
PA2043	678	792	264	268	608	575
PA2044	1765	1894	851	2337	3185	3439
PA2045	604	376	426	56	59	138
PA2047	1118	1096	929	243	238	377
PA2048	131	227	83	83	15	23
PA2049	2951	2090	897	699	1244	1298
PA2050	64	45	23	12	21	38
PA2051	64	96	34	21	42	47
PA2052	393	411	347	143	142	167
PA2053	535	226	243	129	60	142
PA2054	531	261	122	73	170	185
PA2055	59	45	18	20	31	71
PA2056	251	222	82	299	503	640
PA2057	374	354	141	122	123	195
PA2058	101	80	38	53	39	88
PA2059	92	101	22	16	35	56
PA2060	23	30	12	28	26	33
PA2061	98	101	37	36	48	60
PA2062	553	615	191	317	359	674
PA2063	269	184	92	394	987	901
PA2064	202	238	80	91	140	167
PA2065	468	590	177	59	90	116
PA2066	4303	6662	1641	75	95	145
PA2067	1528	2719	572	13	11	22
PA2068	3566	6943	2627	36	22	41
PA2069	27909	43096	11662	79	88	95
PA2070	1135	1156	464	135	184	218
PA2071	5250	6654	1786	1005	777	1077
PA2072	2184	1661	563	130	99	179
PA2073	233	201	72	323	563	680
PA2074	70	112	63	69	182	272
PA2075	253	180	96	137	127	169
PA2076	364	455	203	514	720	698
PA2077	194	190	70	89	192	227
PA2078	318	323	97	70	100	169
PA2079	854	880	487	591	681	1010
PA2080	1892	2185	695	2315	2193	3405
PA2081	2947	2372	676	4430	2085	2699
PA2082	263	236	100	544	426	597
PA2083	221	204	120	421	455	755
PA2084	840	778	134	129	227	279
PA2085	52	46	16	24	38	18
PA2086	36	41	9	24	30	36
PA2087	37	28	13	12	15	19
