Geneid	B1K.sam	B2K.sam	B3K.sam	P1K.sam	P2K.sam	P3K.sam
PA0601	578	869	217	949	917	797
PA0602	556	689	502	1057	1189	1474
PA0603	811	836	405	1775	1961	3007
PA0604	1866	1651	818	3578	3654	6447
PA0605	697	743	248	1629	1510	2034
PA0606	443	488	158	1225	1004	1351
PA0607	1698	1714	748	2419	3275	2408
PA0608	924	904	485	1143	2172	1871
PA0609	1986	2230	886	3798	5502	5259
PA0610	524	510	126	1403	1298	1256
PA0611	451	568	282	1475	2091	1829
PA0612	51	122	37	95	268	349
PA0613	145	151	90	247	382	363
PA0614	54	51	20	38	49	47
PA0615	347	596	194	372	489	478
PA0616	182	215	87	233	478	509
PA0617	64	63	40	84	211	189
PA0618	156	236	119	251	466	452
PA0619	185	238	133	270	534	504
PA0620	709	941	528	1107	1589	1420
PA0621	188	170	82	346	303	209
PA0622	568	734	308	900	1538	1598
PA0623	118	152	84	248	484	437
PA0624	111	115	54	118	295	311
PA0625	549	707	398	591	1568	1684
PA0626	254	281	149	163	417	411
PA0627	10	32	13	18	33	43
PA0628	161	254	104	182	526	512
PA0629	65	110	15	76	142	148
PA0630	32	38	12	45	73	127
PA0631	56	92	25	83	141	134
PA0633	188	229	123	328	577	562
PA0634	76	113	109	163	342	339
PA0635	97	139	102	165	347	330
PA0636	323	296	146	311	671	721
PA0637	43	85	36	39	175	171
PA0638	66	100	38	76	227	248
PA0639	117	120	52	84	207	252
PA0640	71	92	26	53	188	172
PA0641	659	1061	382	879	1625	1715
PA0643	256	256	157	476	487	401
PA0644	113	89	77	167	129	118
PA0645	77	126	76	147	167	102
PA0646	524	577	405	990	894	671
PA0647	297	264	373	284	264	156
PA0648	234	164	125	234	164	101
PA0649	1486	1504	801	3622	3962	3432
PA0650	1364	1798	751	2081	3012	3073
PA0651	1484	1966	643	2942	4160	4448
PA0652	3907	3811	2043	10970	7400	5434
PA0653	1945	1939	827	1697	2091	2032
PA0654	786	498	509	2664	4474	4246
PA0655	3993	6030	1853	5057	5098	3074
PA0656	846	1282	547	361	204	180
PA0657	749	1027	389	1326	1400	1359
PA0658	883	1345	591	1360	2002	1683
PA0659	1755	1400	478	4168	4437	4334
PA0660	1793	2286	765	2353	2852	2323
PA0661	468	494	195	791	640	528
PA0662	1238	1516	685	1764	3236	3530
PA0663	775	727	231	1337	2038	2060
PA0664	994	904	344	2124	3023	2596
PA0665	1609	2459	1815	2222	2597	2568
PA0666	2479	3469	1185	2439	2946	2834
PA0667	3905	4916	2385	6174	4925	4719
PA0668	2955	2471	2879	5484	7111	7000
PA0668.1	463642	33337	42753	392300	11994	21728
PA0668.2	249	111	402	565	477	916
PA0668.3	51	45	78	142	132	158
PA0668.4	645174	116836	107757	702660	26186	42486
PA0668.5	270	77	156	1184	389	517
PA0669	394	556	182	393	454	481
PA0670	107	206	57	172	197	246
PA0671	97	140	60	139	132	127
PA0672	3145	3776	1179	169	242	200
PA0673	183	269	61	101	72	56
PA0674	62	91	25	36	63	41
PA0675	13	26	19	18	23	32
PA0676	67	106	19	64	71	85
PA0677	17	27	16	15	15	6
PA0678	8	24	13	13	8	12
PA0679	154	208	80	81	93	77
PA0680	51	58	35	41	26	20
PA0681	21	49	13	25	30	64
PA0682	19	60	9	33	43	34
PA0683	15	18	0	7	18	18
PA0684	4	16	4	22	10	8
PA0685	134	174	83	115	172	150
PA0686	42	84	15	49	47	70
PA0687	21	31	10	46	49	65
PA0688	676	694	479	761	1249	970
PA0689	478	520	387	756	551	406
PA0690	2056	3272	1040	2750	2760	2639
PA0691	15	2	6	6	14	14
PA0692	50	53	34	64	55	43
PA0693	64	114	18	56	84	78
PA0694	15	9	6	20	18	17
PA0695	7	7	12	9	34	40
PA0696	113	240	123	161	192	171
PA0697	15	11	18	17	13	21
PA0698	2	7	0	15	24	18
PA0699	29	45	6	40	74	46
PA0700	23	22	3	20	19	24
PA0701	95	152	31	56	94	98
PA0701a	42	106	58	109	76	128
PA0702	50	82	12	122	156	171
PA0703	201	338	174	231	363	325
PA0704	911	1369	238	515	726	650
