Geneid	B1N.sam	B2N.sam	B3N.sam	P1N.sam	P2N.sam	P3N.sam
PA0087	184	115	114	4344	5246	3418
PA0088	404	250	267	10393	12569	6551
PA0089	211	202	198	5545	8825	4406
PA0090	959	669	916	22671	35531	18395
PA0091	572	534	665	12510	17981	10020
PA0092	149	139	185	1808	2301	1408
PA0093	268	370	331	3666	5382	2519
PA0094	386	119	220	1968	1669	1591
PA0095	3201	7290	4245	10384	13816	8816
PA0096	92	90	86	515	767	410
PA0097	155	285	91	1732	3256	1333
PA0098	49	94	56	685	1286	518
PA0099	468	156	262	2208	2325	1497
PA0100	967	522	1118	3576	4528	3102
PA0101	199	238	286	1555	2297	1214
PA0102	4818	6887	9584	7146	6211	7343
PA0103	422	666	674	1013	1091	1167
PA0103a	382	176	467	1063	731	909
PA0105	3337	3691	4361	1282	1276	1097
PA0106	1478	1425	1823	394	382	408
PA0107	343	374	455	72	119	68
PA0108	1482	1298	1777	280	268	217
PA0109	403	457	506	93	113	71
PA0110	220	411	339	110	107	97
PA0111	206	244	324	32	33	30
PA0112	164	305	213	160	185	199
PA0113	295	274	378	408	438	393
PA0114	2665	1300	3009	2016	1828	1770
PA0115	390	680	618	876	983	894
PA0116	1259	1285	2200	3307	3297	3396
PA0117	869	749	1300	8856	11013	7512
PA0118	1572	1598	1957	15448	13434	15434
PA0119	247	271	353	1289	1504	908
PA0120	179	186	323	526	497	504
PA0121	126	219	241	492	558	509
PA0122	14213	8698	19628	677	555	601
PA0123	518	788	969	620	725	575
PA0124	32	56	55	227	165	154
PA0125	28	44	56	118	158	116
PA0126	149	148	140	8883	10853	7021
PA0127	374	581	552	884	961	801
PA0128	980	1086	1354	8308	4843	5626
PA0129	739	1015	2561	1113	1327	1011
PA0130	1216	2179	6068	4819	5011	4950
PA0131	357	836	1798	1416	1834	1239
PA0132	947	2750	6792	5338	5300	3719
PA0133	278	321	535	976	906	812
PA0134	618	960	1605	1265	1500	1067
PA0135	18	13	14	22	22	36
PA0136	60	83	90	189	189	212
PA0137	58	48	86	155	152	127
PA0138	120	120	246	328	279	224
PA0139	7630	2614	7743	37215	14367	19943
PA0140	595	339	916	2979	2759	2361
PA0141	618	426	1054	5053	6199	4632
PA0142	314	437	464	1365	2361	1135
PA0143	1455	1589	1943	1371	1040	1270
PA0144	254	497	494	387	389	406
PA0145	172	608	340	910	1188	840
PA0146	77	95	138	247	336	306
PA0147	217	323	338	697	720	822
PA0148	805	753	1206	3483	2713	2836
PA0149	122	339	217	309	508	234
PA0150	68	124	129	562	751	367
PA0151	139	186	227	338	538	294
PA0152	197	474	302	1066	1340	976
PA0153	237	329	324	364	506	347
PA0154	282	299	454	289	347	254
PA0155	658	562	645	1169	951	1152
PA0156	607	629	1003	1503	1408	1476
PA0157	265	494	443	932	1167	907
PA0158	1569	1664	2536	3523	3734	3709
PA0159	347	752	613	1184	1684	1391
PA0160	90	62	156	235	201	170
PA0162	200	322	291	1182	1354	1372
PA0163	178	477	367	466	915	523
PA0164	188	381	315	2115	4445	2232
PA0165	179	146	214	4448	2832	4671
PA0166	89	125	157	324	349	252
PA0167	837	914	1130	2202	1787	2327
PA0168	199	284	472	1064	914	979
PA0169	98	189	179	1696	1847	1904
PA0170	39	93	90	624	830	827
PA0171	50	38	94	815	561	770
PA0172	219	370	353	2926	3869	2710
PA0173	51	125	142	65	96	82
PA0174	43	76	67	25	53	28
PA0175	229	432	313	81	126	82
PA0176	1653	1636	2429	381	379	413
PA0177	402	254	564	45	46	51
PA0178	714	917	1284	282	303	233
PA0179	1203	869	1884	291	259	228
PA0180	457	443	721	854	759	676
PA0181	195	345	400	896	804	862
PA0182	169	317	344	288	406	349
PA0183	200	321	358	642	913	700
PA0184	22	62	51	282	331	327
PA0185	50	105	93	199	298	179
PA0186	141	261	179	418	488	326
PA0187	550	719	1038	103	106	66
PA0188	244	646	549	114	124	117
PA0189	89	261	250	255	312	264
PA0190	98	156	165	286	308	167
PA0191	60	61	74	344	388	313
PA0192	78	156	105	302	438	280
PA0193	21	27	41	149	184	179
PA0194	34	59	92	210	396	251
PA0195	510	785	1221	712	796	660
PA0195.1	73	46	116	68	97	73
PA0196	282	265	486	401	390	347
PA0197	28	51	62	120	129	83
PA0198	90	126	141	194	348	248
PA0199	289	666	385	888	2043	825
PA0200	662	429	702	1289	1830	1360
PA0201	80	378	218	1942	3245	1575
PA0202	114	150	118	835	2984	983
PA0203	77	69	94	108	582	140
PA0204	104	62	119	130	378	89
PA0205	133	122	153	208	373	259
PA0206	168	219	263	328	467	276
PA0207	215	722	438	712	1193	722
PA0208	2126	5887	15342	1595	1529	1448
PA0209	200	755	1682	48	103	51
PA0210	98	759	520	15	35	32
PA0211	629	2509	4252	153	261	154
PA0212	574	3240	3729	127	158	131
