Geneid  B1C     B1K     B1N     B1P     B1Z     B2C     B2K     B2N     B2P     B2Z     B3C     B3K     B3N     B3P     B3Z     P1C     P1K     P1N     P1P     P1Z     P2C     P2K     P2N     P2P     P2Z     P3C     P3K     P3N     P3P
PA0963      8054    5832    5024    6911    4924    7193    7274    4208    2484    3228    2130    2586    6358    3823    3565   13455   15006   15365   21964   15094   20209   24823   15771   17232   17564   16827   22096   16899   10430
PA0964      4420    2784    3829    2547    2135    4678    3339    2010    1303    1571    1061    1425    5560    1853    1635   23502   14787   11864   22963   16941   24580   19080    8558   13983   17455   20006   20498   12895   11999
PA0982      1750    1150     970    1019     984    1246    1152     640     513     899     508     453    1295     634     671     350     497     260     407     498     343     448     269     679     349     529     401     232     326
PA0990       689     380     277     388     472     561     671     266     262     475     235     273     492     417     580     267     390     176     327     438     180     301     209     286     274     294     277     175     115
PA0996      1808    1348     946    2218    1314    2335    2728    2886    1119    1521    1061     948    2757    2086    1739    3561    5878     504   13191    3821    5548    9808     154   19423    5924    6014    8576     892    4989
PA0997      1365     946     740    2095    1508    2360    1881    2182    1109    1840    1311    1143    2390    1838    2169    5236    6851     458   19742    4226    6798   11884     163   30318    6476    7794   10930     938   12074
PA0998       999     640     590    1105     693    2035    1346    1056     554     995     569     674    1874    1013    1059    3243    4413     327   14402    2888    4486    7877      92   16958    4274    5069    7272     570    8644
PA0999      1422     991     668    1437     873    2818    1861    1480     718    1143     757     652    2362    1441    1242    3269    5660     502   18061    3808    6118   10573     157   21872    5928    6685    9349     862    9488
PA1000      1170    1158     595    2019    1231    2186    1731    1926     820    1416    1329     956    1952    2020    1944    2630    4356     489   16035    2694    4546    8689     345   22377    4448    5396    8065     747    8094
PA1001      1436    1057     644    1438     957    2704    1825    1416     694     860     820     757    2328    1362    1307    2757    4195     394   14866    2456    4203    7142     238   16899    3655    4556    6984     628    6979
PA1027       987     769     592     824     668    3092    1686    1217     635     585     873     733    2104    1072     645     240     277     237     255     314     186     382     271     282     412     386     369     217     196
PA1028       778     536     457     687     627    1324    1022     767     336     423     759     451     999     638     426     216     225     252     272     232     259     353     241     310     284     246     356     199     132
PA1041      5768    4314    3098    4703    5767    6433    4292    3060    2518    3702    2233    1241    5010    2997    4117     593     525     396     501     884     416     446     285     748     659     899     307     296     313
PA1048     22249   13557   13334   14202   36783   23686   18657   10655    6540   32146    6764    5952   21024    9503   23458    4353    5058    5116    9109    8208    4790    6023    4552    7188    8870    5001    6606    4999    3721
PA1051       380     245     162     244     178     304     311     172     128     156     102     103     296     192     153    3595    1679    1014    1742    2513    3503    1797     850    1534    1910    4991    1871     954     825
PA1065      1083     692     422     655     536     775     793     398     265     488     270     199     658     474     499     242     315     148     238     353     195     271     140     353     336     347     206     160     129
PA1069      3365    2886    2103    2767    2787    3532    2880    1759    1046    2426     928    1113    2330    1729    1951    6112    7374    4862    6997   28642    9076   12233    7190    7813   36848   10822   11547    5720    4256
PA1078       408     352     251     273     174     173     222     112      50      63      46      55     146      95      51    1058     821     513     671     413    1071    1142     472     869     336     985     789     488     331
PA1081       921     722     478     659     464     319     358     157      91      90     100     133     308     159     107    1435    1413    1002    1187     823    2111    1917     964    2034     594    1935    1350     935     516
PA1111       724     277     210     517     491     835     792     467     245     632     176     257     821     395     498      49      86      66     112     191      47      81      56      97     186      71      93      50      63
PA1112      2829    2128    1277    2871    2590    2345    2816    1747    1102    1831     961     958    2089    1778    1582     301     828     454     599     716     513     932     653    1157     716     558     754     393     260
PA1112a      914     627     271    1236    1082     678     999     770     535     749     549     780     583     867     717     149     253     166     141     176     189     304     205     403     193     175     185     156     118
PA1118      3188    1789    1102    1709    1761    1796    2432    1230     988    1965     841     736    1769    1493    1621     314     631     276     491     590     341     525     292     723     421     478     343     204     252
PA1124      3515    2509    1869    2908    2703    3130    3074    2016    1097    2330    1287     886    2989    1969    1816    1088    1466     644    1046    1571    1096    1397     698    1850    1226    1539    1281     790     510
PA1129       544     318     187     569     646     459     569     395     184     520     125     237     309     353     356     135     213     134     222     239     185     244     142     357     276     268     239     118     113
PA1130      3778    2073    1866    2168    2561    5159    3425    1743    1530    2298    1112     946    3051    1794    1759     228     340     116     233     270     199     270     133     395     262     296     320     149     127
PA1131      2740    1515     921    2222    2319    2829    3442    2657    1344    1821     756    1204    1811    1675    1448      92     198      37     108     155      96     151      38     182      84     164      98      44      58
PA1136      1076     626     264    1028     769    1261    1571    1377     745    1392     532     417    1325    1274    1026     208     339     186     248     343     462     657     329     631     511     379     393     214     118
PA1137      1209     495     500    1167    1113    5404    3633    3819    2275    4062    1438    1259    7408    3332    3862     129     180     154     176     220     734    1439     928     968    1298     936     812     144     256
PA1145       880     675     345     833     668     761     859     580     275     391     235     266     535     519     448     154     306     219     238     290     265     343     167     352     296     263     361     211     131
PA1155      3942    2982    3464    2507    3105    4811    3714    2359    1784    2606    2177    1939    4544    2320    2883   13428   11104   11570   12795   13084    9774   13170   10291    9820   10640   10119    9954   11675    7335
PA1166       663     489     316     618     522     578     651     410     268     345     236     203     459     362     367      56     128      74     122     119      61     114      99     157     117     102     117      62      62
PA1167       886     572     301     605     569     606     964     622     245     579     289     290     623     524     456     174     348     209     248     357     311     333     163     345     266     352     286     191     142
PA1172      1809     917    1188     589     992    1327    1012     502     548    1025     462     317    1389     632     761     197     190     128     191     220     170     275     147     241     327     177     246     127     103
PA1174     10129    6271    5395    6877    9477    7970    7777    5219    3726    8471    3481    2339    6953    5101    6373     386     407     307     392     605     319     474     350     600     487     436     389     278     203
PA1176       770     650     224     546     892     755    1195    1473     510     744     223     129     873     509     412      22      34      29      17      18      28      16      37      50      27      59      43      12      45
PA1177       907     349     339     509     568     638     495     467     372     576     324     428     589     361     472      29      37      23      26      45      25      37      12      46      33      52      33      31      24
PA1178     14319    6948    5434    4900    6479    3167    4512    1617    3167    7587    3174    3172    6060    3831    5491   22008   19316   21199   23618   41111   12663   15592   11728   18748   25733   16178   15377   15881   11131
PA1179      3325    2079     948    3077    3331    1321    2546    1420     712    1799     822     878    1359    1684    1464    2860    5522    5632    5859    7066    5338    7785    6711    5888    9698    5862    7472    5469    2778
PA1188      1012     609     406     978    1073    1265     973     847     492     810     397     418     839     690     600     206     281     182     276     296     216     299     166     449     371     398     348     171     139
PA1190      2435    1529     945    1333    1603    1625    1327     695     841    2036     540     425    1572     757    1227     204     257     196     247     229     177     233     109     258     180     250     224     138     123
PA1191       976     804     565     832     770     920    1060     527     359     600     319     343     916     555     560     318     320     133     311     322     197     351      91     420     253     375     244     129     180
PA1196       279     263     123     226     223     271     364     208      80     130      69      84     172     147     129    2571    5735    1169    6317    7187    4050    6208    1300    9377    7456    7060    2818    1032    4696
PA1199      3729    2534    1622    4055   12755    2595    3494    3289    1804    9800    2105    1943    2371    2772    6648    1020    1628    1381    1296    1596    1418    1871    1576    1678    1713    1333    1880    1359     508
PA1202      1842    1362    1496    1575    1776    1685    1431    1455     772    1430     918     598    1803    1051    1392     564     514     282     356     610     489     528     319     509     576     746     502     457     215
PA1207       721     525     390     584     493     821     759     471     222     344     205     218     688     384     334    1245    1825    1460    2956    2671    2265    3242    1192    1968    3562    1916    3381    1437    1171
PA1210       722     445     217     518     447     451     674     471     230     551     180     169     502     413     356     180     276     152     186     266     220     288     173     256     254     239     225     167     114
PA1217      1060     496     385     712     795    1078     681     460     299     886     380     354     628     593     580     208     286     127     286     314     223     330     133     438     282     307     253     148     179
PA1228        72      53      40      90      85      55      88     103      47      80      21      36      58      64     103     623     806    1395    1664     514     949    2074    1415    4226    1097    1320    1658    1373    1590
PA1242       850     595     329     935     712    1288    1088     777     406     653     365     396     871     748     787     153     326     290     384     368     303     554     361     530     464     290     543     294     205
PA1249      7910    3873    6275    5521    4553   20718    5947    6151    4078    4556    5976    2916   22502    6970    7901     580     413      79     348     217     362     364      68     366     194     554     466      94     222
PA1250      1103     809     580     929     763    1282    1300     798     449     599     486     569    1140     793     730     253     402      77     387     416     416     566      61     302     481     507     796     119     226
PA1252      1289     600     554    1153    1210    2280    1709    1057     664    1315     543     634    1364    1046     894     341     314     122     453     582     372     383     125     399     509     646     468     130     249
PA1259       364     207     109     359     408     504     495     507     166     627     198     102     574     387     749      69     113      39      57      70      80     110      66     123     111     118     140      37      64
PA1260      1210     480     286     615    1047    1054    1039     729     691    2620    1271     463    1358    1088    3097      95     142      38      37     100      61      89      23      44      86      80     108      31      32
PA1261       515     296     169     499     445     344     441     291     192     359     189     186     261     284     301      62     143      80     146     146     103     209     130     203     180     113     165     101      72
PA1271       653     547     368     776     446     486     694     538     242     333     198     190     412     380     278    1816    2489    2020    3227    2048    2625    3687    1872    2602    2206    2490    3959    1999    1244
PA1272       409     310     168     313     249     439     352     232     137     201     115     145     281     177     205    1512    1704     910    2404    1587    1827    2113     856    1911    1553    2039    2592    1174    1078
PA1273       138     184      91     356     286     222     226     257     123     128     135     130     189     187     153     360     734     595    1128     647     711    1289     840    1205     883    1052    1414     709     538
PA1274        72      66      24     119      73      86     109     158      54      50      28      48      54      73      73     230     494     356     504     346     487     748     470     680     474     571     739     349     219
PA1276       117      62      44     147      77     101     122     139      54      44      45      51     112      48      55     140     416     397     458     310     472     841     450     789     566     640     786     400     343
PA1277       109     122      99     198     122     283     229     195      82      61      67      90     186     164     105     566    1095     761    1390     829    1054    1603     891    1435    1225    1280    1506     666     744
PA1279        87      62      23     124      61     174     138     114      26      59      25      31     108      82      77     190     453     266     384     330     422     586     294     650     477     572     567     245     445
PA1283      1051     468     373     464     393    1511    1104     383     317     520     423     594    1511     457     590     224     250     126     275     306     272     268     122     269     267     309     297     113     224
PA1287      2566    1660    1447    2004    1537    2494    2473    1288    1109    1578     714     623    2575    1312    1016     786     803     288     754     805     724     849     210    1054     689     918     686     234     401
PA1289      1125     617     377     771    4248     555     783     634     325    5365     370     194     498     472    2058     158     194     129     186     201     172     243     148     279     219     291     190     140     115
PA1300      1340     895     440    1233     687     518     978     630     227     466     222     225     800     411     319      24      58     103      87      55     106     200     119     113     100      84     169     100      62
PA1301      1055     885     388    1408     977     792    1019     577     233     513     228     451     714     438     477      40      69     111     142      77      93     200     158     103     132      88     226     113      69
PA1323      4526    2809    2734    3683    3258    6411    4718    2532    2068    3863    2288    2001    6573    2910    4154     684     842     443     649    1652     413     614     419     720    1443     492     563     352     371
PA1324      8464    6968    5097    6838    5138    9029    7877    4049    3605    4983    3830    2671    8873    5428    6405    1275    1643    1073    1071    3921     992    1296     944    1481    3199     968    1111     853     460
PA1327      3536    2315    1515    2897    3393    3034    2823    1856    1008    2527    1316     962    2324    1882    2013     263     442     173     492     430     336     585     186     470     479     498     556     185     267
PA1349       647     403     271     485     548     577     641     432     278     537     228     198     417     448     404      31      71      15      33      40      33      59      42      65      38      30      45      24      27
PA1350       719     363     320     548     756     639     629     429     284     548     247     208     543     383     408      99     159      72      95     151     110     162      67     188     124     140     119      81      51
PA1354       734     638     433     913     998     592     765     812     350     698     468     288     667     621     684      50      81      53     103     101      76      92      76     124     113     106     108      72      62
PA1356       537     361     252     499     541     627     539     423     266     384     187     165     487     323     312      42      92      63      74      83      80      88      53     109      83      58     117      61      35
PA1363       937     690     508     612     368     412     495     305     114     223     108     197     521     223     181     143     148     112     213     158     127     174     106     150     131     115     241      81     116
PA1403       338     264     115     411     334     326     508     320     236     384     173     129     333     271     295      74     154     107     180     185     157     200     106     109     165     200     239      84     140
PA1404       843     502     303     347     265     477     617     322     258     414     356     135     810     336     413      42      45      32      40      83      21      57      32      57      40      38      46      31      48
PA1405       353     247     167     290     266     304     394     305     111     181     125     141     297     208     201     696    1196     704    1550    1277    1075    1590     793    1589    1487    1337    1379     777     713
PA1408      1565     829     553    1261    1138    1700    1992    1130     707     896     561     476    1232     954    1057     201     430     253     391     612     267     345     251     441     712     361     420     197     135
PA1429      1439    1426     751    1252    1201    1030    1561    1190     402     612     316     439    1146     762     739   10744   15131    4365   11786   22094   12058   12041    4811   21302   17262   18023    7040    4083    7152
PA1430     10152    7524    5971   10915   13322   10702   10055    7569    7633   10417    8878    8009   10845    9041    9671    3045    4039    1303    3466    3793    3167    3802    1509    4943    3240    4533    3310    1266    2322
PA1470       648     317     296     512     602     856     944     559     354     480     259     306     767     493     557     129     198     101     196     252     200     260     113     235     295     229     267     121     125
PA1471      1835    1971    1323    2457    2209    3157    4507    2808    3570    5296    3049    2449    4095    3618    5129     118     319     392     356     854     117     310     462     875     690     175     272     325     132
PA1474      1671    1171     709    2149    1910    1408    1701    1831     850    1590     930     720    1463    1428    1339     417     521     378     426     475     464     814     545     855     465     761     600     434     299
PA1476      1228    1151     750    1549    1113    1095    1258    1006     447     508     504     438    1059     752     503     175     337     333     438     379     336     609     409     669     427     404     497     340     202
PA1494     72185   31538   31262   30056   22704   65662   46451   25634   18257   27181   10981    8716   39229   25811   29603     904     899     329     887    1547     790     997     285     604    1682     727     725     272     351
PA1525       870     528     331     723     814     652     799     590     476     951     370     448     488     611     610     307     454     167     301     392     208     417     168     567     311     431     299     169     225
PA1538       702     389     204     503     891     377     550     384     241    1296     245     280     469     383     629     218     287      72     194     216     130     280     149     215     230     280     289     103     134
PA1539       803     302     215     841     985     465     562     403     246     936     192     317     426     403     534      93     231     121     207     157     160     324     230     401     245     310     287     164     149
PA1546      3342    2752    2238    1977    2135    3441    2506    1197     871    1157    1164     975    2507    1419    1282   43607   39031    6781   31402   48414   23547   21556    4707   27917   26123   29731   13637    5774   14272
PA1556       776     554     484     583     768     633     420     307     237     290     271     245     450     307     504    6950    5499     783    6336    9978    4850    5323    1444    8786    9204    5719    2805     974    4229
PA1557      2703    1677    1781    1494    2306    1984    1381    1032     691    1082     891     685    1630    1066    1278   27688   23457    4088   20692   38049   18359   16183    4462   25898   25676   21302    9781    4077   10487
PA1561       756     518     473     712     511     473     705     515     267     355     255     265     716     466     304    4424    4700    2019    4115    5010    4800    4931    2106    6404    4582    5503    3839    1904    2156
PA1562     23492   12125   10000   15642   15669   25798   18965    8418    7020   15669    7192    4309   15466   11469   12847    3089    5632    1867    4340    7039    3623    6067    2149    6868    6772    4688    5068    2102    2736
PA1571      2580    1298    1759    1026     924    1876    1758     671     670    1102     642     469    2754     825     985     903     905     380     368    1004     486     451     170     436     533     572     618     332     323
PA1572      5345    3444    1938    5876    6158    5965    5568    4188    2487    5467    1765    2666    4285    3817    3361    1051    1948     737    2118    1674    1429    2320    1099    3384    2229    2370    2187     804    1776
PA1575       932     732     424     840     928     696     902     722     411     753     441     378     748     517     575     145     260     137     207     274     187     327     144     267     297     272     260     124      99
PA1576      3501    1972    1150    2885    2577    3510    3323    1669     976    1768    1032    1006    2470    1703    1564     595    1028     446    1214    1122    1096    1325     485    1443    1437    1134    1173     499     537
PA1578       513     401     137     760     708     519     624     442     250     542     244     342     300     428     494      54     192      96     164     147     154     303     123     407     286     234     342      99     113
PA1590      6426    4634    3370    6163    6397    8034    7651    4927    3802    4757    3069    3540    6254    4729    4441    1205    1896     995    2164    2167    2565    3322    1192    2683    2632    1769    2851    1009     869
PA1603       563     332     159     473     421     333     503     337     339     373     263     282     230     416     305     179     321     113     143     295     161     269     100     313     170     187     155      93      97
PA1617      5789    3979    3746    4585    6192    6742    4925    3509    2097    3378    2557    2398    6209    2710    2574     976    1058     696     696    1243     630     899     742     826     791    1264    1061     598     505
PA1633      1699     896     317    1282    1168     892    1653    1279    1069    1644     532     383     663    1628     971     373     619     333     786     553     529     760     306     824     641     747     509     316     361
PA1643a     1763    1168     683    1286    1464    1251    1207     815     635    1120     711     593     981     954    1011     350     566     197     510     515     491     632     242    1028     492     582     476     233     178
PA1648       583     315     238     429     368     512     489     303     175     351     251     141     357     271     254     135     214      32     144     229     155     195      70     156     228     202     161      47      89
PA1650      1423    1084     518    1377    1595    1214    1530     868     736     959     677     719     887     978     899     230     391     174     280     425     324     396     217     460     358     450     396     152     126
PA1654       929     706     440     894    1020     793    1028     647     373     824     304     391     606     598     608    2804    5510    1481    5138    4141    3049    5354    1610    5879    4212    4417    3619    1475    1719
PA1673       648     634     479     491     460     457     347     310     206     303     241     285     636     462     324   15114   15136    2278    7679   17675   11500   10115    2023   19901   10852   17409    8048    2732    7665
PA1687       832     675     493     645     464     541     584     323     268     263     225     202     404     326     306    2287    1928    1186    4051    2309    2594    3713     798    1993    2581    2342    3552    1290    1809
PA1716       306     191     179     235     145     239     307     218      97     153      90      79     250     167      91    1044    1263     558    1030     622    1452    1537     535     979     656    1272    1260     469     609
PA1717       150      83      68     193     111     135     152     120      59      81      79      49     102      84      91     410     594     319     615     349     671     901     325     556     470     748     604     202     311
PA1728      6396    4686    4572    9826   14945    6835    5092    5105    6100   16408    5189    5315    8788    6300    9112     175     214     117     254     293     143     325     227     523     286     262     214     135     291
PA1729      2949    1481     705    2647    2588    2205    3270    1889    1129    2019     901     904    1519    1772    1493     399     911     376     878     948     666    1085     390    1210    1112    1098     885     339     543
PA1730      2836    1500    1082    1426    1427    2906    2746    1253     969    1609     745     729    2413    1303    1365     264     365     135     300     336     267     362     111     407     394     284     372     133     166
PA1731       696     360     388     436     484     842     618     325     232     462     218     228     655     339     446     112     145      44     145     156     107     139      69     168     134     127     136      63      92
PA1732      1142     759     330     967     827    1629    1276     845     489     889     427     280     901     809     865      82     148      75     167     192     138     171      64     200     213     154     181      52      75
PA1733      2349    1368     960    1635    1531    2356    1971    1133     904    1624     696     647    1703    1173    1247     166     263     101     246     311     196     257     114     309     314     246     251     113     114
PA1734       810     816     443    1113     956     975     997     794     457     606     412     366     658     711     728     254     360     148     400     404     237     437     149     504     399     351     481     147     274
PA1735       842     542     525     573     474     472     812     364     228     577     207     202     634     367     314      98     238     130     228     218     184     275     149     272     289     211     265     132     111
PA1736      1833    1157     911    1359    2996    1888    1371     851     613    1807     649     475    1309     855    1442     295     288     124     286     528     290     325     147     317     402     447     282      95     133
PA1737      2268    1566    1389    1593    3282    3302    1823    1046     870    1693     761     659    2264    1063    1625     398     552     187     617     647     424     560     210     652     735     529     610     230     366
PA1745       987     603     497     418     529     833     981     337     310     445     356     261     690     398     485      93     121      33      98     178      52      77      17      88     103      68      64      26      70
PA1749      8983    4900    3098    5744    4769    5582    8442    5450    2850    5585    2094    2311    5468    4468    4216    2526    2976     751    2173    2477    2731    2702     814    3211    2259    3357    2584     698    1265
PA1753      3252    1912     873    2829    2397    1760    3030    1862    1043    2991    1048     931    1568    2152    1894     466     828     273     601     915     579     831     392     985     965     740     782     308     312
PA1762       602     312     282     501     462     450     550     277     195     455     223     243     369     342     303     191     199      56     120     214     216     207      46     176     154     290     148      37      85
PA1769      3846    2002    2448    3006    2460    4402    3727    2546    1929    3566    1790    1889    4260    2537    3364    1904    1860     570    1244    1740     770     985     379     836     928     901     793     409     892
PA1771       171     160     147     199     165     182     204     148      80      96      97      71     146     127      94     448     676     460    1207     689    1071    1583     505    1246    1060    1014    1533     454     523
PA1778       541     381     309     670     626     494     602     401     243     720     319     281     534     547     546     128     243      92     261     217     305     393     134     412     259     235     350      97     140
PA1779       806     513     329     606     483     663     749     537     288     449     216     170     486     479     369     157     264      95     242     257     170     323     115     283     252     278     294      97     151
PA1784      2442    1467    1114     790     900    1581    1496     498     686     885     679     539    1149     762     749     167     233      60     295     193     116     171      42     300     108     127     173      74     133
PA1790       406     344     194     354     284     363     352     175     121     147      75     112     287     145     166     497     723     506    1190     662     981    1143     500     853    1123     595    1237     649     395
PA1791       177     211     216     141     136     125     135     115      72     108      86      75     164     123      90    1828    1689    1875    1595    6543    2692    3127    1757    1131    8923    1639    3635    1939     733
PA1804.1    1207    1269     481    1067     714    2190     827     310     309     420    1259     513     800     994     584      92      75      49     163     113     196     243      59     177     250     233     248      82     212
PA1814      3966    2011    1397    3163    2930    2537    3242    2038    1089    2250     697     905    2034    1742    1438    1035    1482     770    1305    1284    1087    1348     808    1720    1096    1524    1333     739     685
PA1837a     3736    2196    2122    1961    2306    2529    2600    1588    1416    3176    1104    1224    3361    1523    1888     133     134      60     120     191      65     131      32     175     119     188     130      47      59
PA1851       726     448     245     593     665     533     767     506     281     727     311     339     463     450     413     156     305     139     224     226     230     347     121     376     313     310     220     115     138
PA1852      6783    3896    3376    2640    2031    6168    7643    3750    2553    2768    1996    2702    7059    2734    2645    2961    2933     948    1853    2054    1926    1842     366    2006    1463    1664    1895     809     633
PA1860      1576     857     704    1389    1182    1207    1410     853     581     967     503     399    1142     843     818      77     149      49     156     183     115     155      69     187     160     163     151      52     103
PA1869      5782    5196    3673    5878    7228    5824    4952    4114    2136    4256    2781    3567    4870    3736    5124     812     679      72     572     634     778     775      70     521     489     666     754     136     224
PA1870      1558    1005     488    1552    1189    2043    1711    1326    1137    1936     944     710    1846    1545    1626      37      71      15      36      81      40      93      22     111      94      70      59      11      63
PA1871      8122    5189    3834    5285    5988   12405    7021    5175    2528    4445    4792    2275    7404    4914    5748     308     400     103     342     360     331     401     128     550     347     472     434     160     192
PA1872      2789    1794     902    2369    2674    2678    2577    1974    1281    2088    1094    1000    1896    1823    1660     379     677     214     546     614     522     804     268     866     621     733     645     195     237
PA1874     51979   40113   24177   44234   60521   64635   51019   40955   16127   39015   23705   14330   45720   32019   45960     866    1393     523    1380    1563    1388    1782     622    1521    1932    1827    1727     641     651
PA1875      3957    2736    2042    2878    4520    5665    3735    2144    1076    2858    1496    1626    4323    1913    3255      84     143      46     148     148     129     197      38     130     186     125     209      53      84
PA1876      4614    3194    2340    3248    5425    6005    5181    3345    1636    2828    1732    1631    4970    2362    3233     144     173      70     137     195     154     170      53     152     171     168     205      50      83
PA1877      2980    2373    1686    2039    3257    3410    3031    1701     727    2000    1239     811    3189    1591    2252      64     104      35      95      88      59      96      34      80     100      78     104      34      53
PA1878      1786    1286     985     921    1456    2101    1541     637     444    1041     506     518    1697     575     870     164     193      71     197     166     151     202      45     202     212     144     213      52      89
PA1879       604     472     236     439     599     587     646     348     322     475     200     140     358     330     375      84     195      77     250     200     177     236      70     190     184     154     207     101      86
PA1880      4412    2664    1862    3444    4273    5873    3886    2284    1527    2980    1554    1162    3382    2372    2771     255     407     134     489     383     354     503     173     505     482     431     496     160     314
PA1881      1332     850     601     630     798    1186    1088     501     281     620     375     305     738     507     656     128     154      26     154     142      94     142      36     124     104     127     118      43      51
PA1893       744     534     593     645     430    1907     983    1568     418     491     432     246    1346     692     559     162     173      54     218     204     196     217      83     190     176     268     258     101     104
PA1894       552     324     836     248     134    1485     455     732     439     379     331     169    1533     369     316     168      73      11      63      63      72      48       9      47      22      82      59      12      27
PA1895      1237     574     797     582     513    1560     805     669     446     695     381     305    1068     536     516     342     301      57     258     277     225     237      72     304     187     451     202      48     235
PA1896       423     241     353     278     254     633     371     446     190     270     196     128     544     267     231     137     151      32      74     107      97     129      35     186      88     174     119      37      51
PA1898       495     380     284     434     396     672     556     471     269     305     284     281     531     349     394      51      61      38      47      44      80      77      14      59      46      79      78      36      38
PA1899       476     338     504     364     327    1097     317     262     286     193     369     282     863     385     412      14      19       5      18       6       8      12       7      10       4       7      29       2      13
PA1900       655     316     522     390     284    2406     382     308     377     300     661     388    1388     569     586      61      38       8      55      35      20      34       4      22      28      37      29       5      32
PA1901      1288     658     601     757     569    2682    1326     814     491     445     379     217    2001     660     467     151     208     108     185     192     204     291      79     221     262     303     254      76     200
PA1902       470     357     206     457     304    1124     351     572     250     293     441     139     577     715     536      20      25       9      20      43      27      55      25      49      34      50      55      23      19
PA1903      1244     703     547     915     694    3580    1052    1187     533     558     854     392    1891    1383    1118     106     152      91     127     143      99     160     110     129     165     207     183      89      83
PA1904       546     410     307     416     364    1694     521     737     417     320     544     227    1185     886     701      44      57      25      58      48      58      75      50      55      67      77      54      30      43
PA1905       714     618     346     827     595    2217     836    1200     604     497     901     303    1502    1462    1103      45      89      77     104     100      96     172     128     152     150     123     150      96      74
PA1906       639     510     205     798     609    1073     747     643     390     466     533     288     719     981     706      93     230      94     170     183     221     267     108     269     250     198     274      91      62
PA1910       765     584     298     461     463     377     532     264     155     344     131     167     433     255     300     115     114      71     172     166     125     166      54     153     137     169     178      52     131
PA1912      1120     778     455     855     613     439     656     482     230     582     131     262     774     308     361      24      36      53      28      30      51      59      45      22      44      46      74      21      19
PA1914      1024    1183     647     847    1700     772     945     619     487     917     681     386     773     609    1028      43      89      23      72      75      54      73      10      89      61      82      94      35      40
PA1927      6827    1205    1109    4018    1425    1448    1171    1634    1259    1497     369     230     842    1389     462     172     301     174     406     313     294     560     282     485     409     321     470     170     236
PA1930      3350    1857    1678    1534    2100    2571    1847     889     875    1832     985     865    2156    1180    1489     175     215      74     149     268     122     273      59     200     169     228     278      60     120
PA1931      1009     487     316     616     744    1148     887     461     356     562     287     307     699     513     558      56     132      33      82      87      43     129      35      73      74      84     155      35      31
PA1940      1588    1259     711    1355    1644    1346    1210     840     865    1314    1048    1352     977    1060    1376     966    1074     211     573    1150     570     759     220     702     715     894     727     234     343
PA1944      4035    2147    1895    2001    2312    4442    3015    1219    1193    2133    1107    1101    3283    1554    1906     797    1046     247     829    1368     600     854     213    1114    1003     986     779     200     543
PA1945      1182     702     694    1153    1126    1075     853     807     910    1088     549     598    1000     758     840     292     365     197     376     436     270     408     178     597     399     384     369     149     225
PA1947      2088    1208     948    1968    1809    4010    2365    2247     735    1082     692     515    1950    1124    1111     491     585     233     579     755     568     623     246     734     636    1048     726     166     430
PA1948      1554     871     930    1473    1326    2317    1560    1139     697     934     554     497    1323     876     995     519     465     146     504     573     492     427     169     751     431     715     500     123     393
PA1950      2627    1635     923    2425    2497    3444    2559    2180    1027    2114     885     867    1939    1520    1568     448     654     276     708     827     752     778     287    1079     893    1154     928     290     718
PA1951       948     670     437     861     961     742     891     662     467     816     344     311     582     525     571     180     284      61     268     276     219     303      88     290     241     324     348      65     178
PA1968       783     678     449     501     410     638     564     367     258     422     208     144     618     361     343     143     166      68     162     205     213     261      63     184     218     207     241      99     168
PA1975       536     216     162     447     408    2645     931     405     271     735      86     278     609     347     297      56      61      26      42      49      48      89      26      31      45      79     103      41      34
PA1976      1069     438     382     745     843    6190    1712     725     713    1638     193     411     931     576     486     112     137      51     147     112     120      94      63     116     127     183     179      47      84
PA1978       838     490     227     400     497    1530    1212     409     513     883     310     226     422     620     514     370     514     135     195     243     277     319      85     197     135     326     306      78      78
PA1979       668     290     170     428     357    2451    1359     499     346     980      74     225     590     397     275      11      22       6       7       8      15      17       4      21      20      16      20       3      12
PA1982      5627    1485    1640    2788    4499   24782    6204    2825    2570    9735     895    1553    3461    2723    3074      49      87      16      83     114      58      85      27     111      70      95     116      44      47
PA1983      1453     524     483     830    1520    6583    2233    1106    1441    4833     369    1318    1176    1088    1329      15      12       3      11      24      10      27       7      21      19      20      19      13      23
PA1984      6421    2281    2411    3493    4265   26354    9054    3485    3561   11361    1260    1978    4348    3666    3381    2508     382     422     355    1661    1995     394     320     238     563    3510     645     396     163
PA1985      2866    1439    1556    1143     981    3180    2933    1252    1529    1725    1330    1314    2210    1397    1366     119     151      43      85     201      55      53      36      58      92     126     111      55      63
