Geneid  B1C     B1K     B1N     B1P     B1Z     B2C     B2K     B2N     B2P     B2Z     B3C     B3K     B3N     B3P     B3Z     P1C     P1K     P1N     P1P     P1Z     P2C     P2K     P2N     P2P     P2Z     P3C     P3K     P3N     P3P
PA0085      1119    1223    2103    1145    1188     955     799     649     339     667     280     432    1326     694     695   22028   21647   32123   10034  109057   23709   21763   33353    9833   83547   21628   22326   24791    7222
PA0086       384     395     291     484     353     293     471     452     118     210      72      85     309     256     208    2284    4391   10881    1736    8789    3707    6150   16084    2553   14081    5487    5544    7110    1293
PA0087       119     145     184     127     102      63     126     115      27      36      15      28     114      55      32    1258    1880    4344     816    5941    2016    2723    5246     855    5730    1865    2442    3418     293
PA0088       307     399     404     251     256     205     238     250      69     117      59      85     267     174      93    3025    4476   10393    2190   12331    3533    5034   12569    2348   12135    4481    4432    6551    1009
PA0089       133     237     211     197     170      93     170     202      59      79      39      82     198      94      94    1475    2342    5545    1344    8036    1997    3097    8825    1865    7100    3038    2660    4406     606
PA0090       915    1072     959     840     858     660     744     669     288     531     240     349     916     568     548    9382   12563   22671    6703   36462   11703   17791   35531    8602   44094   14852   14278   18395    3826
PA0091       484     603     572     577     473     487     491     534     256     314     176     225     665     407     366    4972    6484   12510    4222   20053    6605    9223   17981    4798   21523    7303    7445   10020    1903
PA0092       147     190     149     206     145     155     174     139      49      88      76      83     185     146     108     837    1012    1808     905    2496     969    1277    2301     716    2524    1066    1046    1408     356
PA0093       326     370     268     355     350     238     277     370     126     216     127     131     331     196     213    1054    1357    3666     872    3503    1016    1742    5382    1039    4367    1647    1484    2519     636
PA0094       194     172     386     167     177     127     124     119      79     119     107      84     220      81      98     918    1033    1968     688    2386     634     774    1669     412    1996     591     871    1591     288
PA0099       325     321     468     236     267     193     129     156     116     150     120     122     262     123     153    1160     914    2208     501    2569     587     692    2325     656    1533     762     536    1497     310
PA0101       287     233     199     214     234     260     257     238      76     164      72      83     286     125     137     367     608    1555     496    1813     569     714    2297     482    2050     738     834    1214     266
PA0105     10013    6223    3337    5927    8311    5798    5931    3691    2838    8380    1936    1621    4361    3619    5158     406     642    1282     507     661     427     650    1276     507     461     753     587    1097     247
PA0106      4148    2316    1478    1995    3756    2380    2221    1425    1009    3115     883     612    1823    1330    1911     300     330     394     251     407     271     284     382     421     243     412     322     408     244
PA0107      1201     773     343     638    1233     618     753     374     299     998     268     198     455     386     684      28      47      72      40      40      27      78     119      51      79      46      51      68      33
PA0108      3504    2008    1482    1806    2730    2068    2066    1298     834    2603     629     546    1777    1165    1468     251     310     280     251     325     157     231     268     407     226     297     209     217     175
PA0109      1076     697     403     646     765     674     605     457     358     858     240     286     506     478     529      64      90      93      51     100      68      89     113     146      66     115      73      71      54
PA0110       861     456     220     499     728     429     623     411     228     731     120     134     339     273     396      29      44     110      53      41      34      65     107      65      51      58      52      97      27
PA0117      1087     929     869    1167     995    1084    1124     749     505     834     411     481    1300     729     593    6444    6804    8856    6725    6677    5678    8162   11013    8824    7632   10187    7982    7512    6689
PA0118      1977    1936    1572    2270    1716    1666    1815    1598    1203    1375     958     945    1957    1498    1255   12037   16183   15448   11208   22942   11788   13562   13434   18559   15663   20489   14218   15434    5392
PA0119       519     330     247     347     284     393     434     271     182     288      97     156     353     224     218     813    1445    1289    1008     877     821    1362    1504    1528     779    1099    1244     908     721
PA0122     25556   17881   14213   12064   15526   21307   15659    8698    8344   17178    8404    6334   19628   10084   14263    1509    1158     677     720    1054     976     981     555     822     661    1185     884     601     423
PA0126       112     163     149     120     177      76     136     148      59      62      35      74     140     101      98    2755    3896    8883    2085   20232    3118    4358   10853    1354   18227    3370    3195    7021     855
PA0128      2071    1277     980    1227    1075    1360    1467    1086     718     905     550     709    1354     922     744    5355    5713    8308    4876    3570    3953    3446    4843    4383    2331    3960    2315    5626    1716
PA0139      8362    4709    7630    3391    3668    7572    6254    2614    3717    4174    3715    2982    7743    3205    3535   30336   27736   37215   29306   29819   10956   14586   14367   10151   12087   13925   10866   19943   12128
PA0140       689     510     595     360     348     941     649     339     208     262     225     230     916     277     253    2184    2799    2979    3246    2928    2963    3359    2759    3823    3629    2376    2471    2361    2144
PA0141       608     559     618     458     496     870     418     426     198     297     358     228    1054     457     410   10006    9378    5053    9344   13015    8322    8382    6199   19217   10956    9120    4443    4632    5306
PA0162       397     253     200     430     409     287     321     322     179     385     149     150     291     287     238    1979    1354    1182    1977    1001    2400    2335    1354    2016    1360    1979    2245    1372    1357
PA0164       402     295     188     402     377     368     396     381     145     334     120     127     315     248     265     612    1218    2115    1959     823    1384    1947    4445    5161    2319    2485    1262    2232    2001
PA0165       276     206     179     205     170     194     196     146     122     194      88     142     214     149     118    2914    1716    4448    3527    1908    3041    3047    2832    2271    2033    2675    3035    4671    1648
PA0169       240     121      98     193     204     169     253     189      64     202      58     101     179     103     122    1001    1194    1696    1555    1325    1834    2466    1847    1239    2777    2028    2186    1904     928
PA0170       111      59      39      86      71      59      75      93      27      54      34      29      90      47      37     422     567     624     462     524     729    1059     830     502    1121     808     763     827     363
PA0171        35      57      50      40      19      50      46      38      14      23      10      17      94      21       9    1123     801     815     602     919     847     892     561     436     882     984     889     770     404
PA0172       346     243     219     318     289     263     365     370     170     310     146     170     353     251     223     951    1661    2926    1108    1332    1860    2554    3869    1579    1963    1672    2527    2710     668
PA0175       503     417     229     529     681     454     431     432     327     747     328     258     313     384     540      42      62      81      51      39      49      85     126      72      54      51      63      82      40
PA0176      3203    2147    1653    2092    2878    2974    2470    1636     926    2895     937     554    2429    1614    2063     251     281     381     192     313     219     336     379     309     298     364     266     413     168
PA0178      1260     829     714     888    1185    1249    1206     917     420     962     432     382    1284     594     764     174     202     282     188     265     155     183     303     219     226     225     149     233      99
PA0179      2784    1529    1203    1177    1106    1809    2195     869     631    1403     443     460    1884     734    1022     391     366     291     233     424     216     234     259     228     297     439     160     228     113
PA0187       769     527     550     714     571    1070    1076     719     524     651     275     411    1038     601     394      31      63     103      72      56      46      71     106      65      59      37      43      66      46
PA0188       572     439     244     740     560     741     830     646     411     534     224     305     549     461     302      29      63     114      54      61      40      74     124      66      50      50      69     117      32
PA0199       452     499     289     802     651     299     486     666     211     331     251     270     385     378     335     595    1724     888    1332    2475     967    2024    2043    3257    2053    3090     973     825     588
PA0200       576     894     662     634     751     514     312     429     204     381     342     371     702     378     419    5792    4012    1289    3031    5065    2352    2966    1830    8444    2684    6992    2269    1360    5429
PA0201       238     313      80     269     403     192     340     378     131     248     125     146     218     204     200     953    2005    1942     966    1116    1992    1928    3245    3842    1851    2157    1159    1575     681
PA0202       136     299     114     120     154     123     289     150      47     145      55      91     118     109     114     247     970     835     672     553     613    1516    2984    1588     940     769     964     983     338
PA0208      4402    2385    2126    2174    3827   11842   10260    5887    3147    6972    3426    3613   15342    5305    5800     527     637    1595     480     464     669     804    1529     444     599     781     925    1448     310
PA0209       533     236     200     287     491    1803    1482     755     289     719     283     302    1682     597     588      16      26      48      20      22      20      27     103      30      33      19      62      51      19
PA0211      1465     759     629    1182    1570    4066    4009    2509     920    2633    1023    1187    4252    2186    2200      30      58     153      53      52      55      63     261      49      76      60      82     154      33
PA0212      1414     843     574    1218    1824    3591    4016    3240    1201    2725    1017     952    3729    2140    2126      22      40     127      47      39      29      62     158      37      67      80      46     131      33
PA0214       817     583     393     640     999    1784    1659    1459     541    1199     385     256    2423     932     951      66      94     152      41      61      64      99     220     198      67     153     110     124      71
PA0215       413     193     181     325     501     641     642     484     229     606     217     324     646     367     410      23      41      61      41      38      51      48      66      68      39      73      66      73      41
PA0216      1051     614     384    1353    2644    1995    1838    1720     793    2540     892    1218    1617    1521    1851      84     200     355     203     238     197     284     598     310     328     255     259     397      76
PA0226      6169    1966    1834    3363    2539   10004   10270    3574    3575   11415    1330    2076    6002    6004    4169     182     301     463     296     214     238     367     555     331     288     250     323     475     110
PA0227      4456    1852    1498    2791    2272    6559    6317    2928    3074    9691    1107    1010    4212    4991    3088      73     104     204      93      78      86     143     252     115     106     126     124     216      78
PA0228      7441    2345    2215    3674    3022   10822    8766    3293    3329   10355    1035    1459    6136    4904    3527     236     255     423     274     286     238     308     410     294     312     291     264     349     205
PA0229      2023     694     730     829     814    2279    2082     774     966    2615     342     447    1558    1076     815     190     244     266     203     320     136     207     261     230     251     203     231     277     118
PA0232      1528     505     544     508     437     832     689     243     230     725     114     123     671     304     277     270     248     214     207     291     182     165     173     234     263     222     232     231     165
PA0235       853     733     526     757     685    1469    1483    1177     612     575     450     462    1119     876     675      98     124     178     116     113     156     169     193     103     134     175     171     147      60
PA0256      2545    1391    1351    1478    2053    1702    1781    1050     652    1888     635     687    1691     980    1232     529     500     672     453     523     370     430     738     545     391     452     405     593     260
PA0277       133     131     136     153      69      73     144     181      66      62      46      51     109     112      71    1295    1562    3831     804   21776    2012    2542    5862     646   22091    1041    3039    3674     368
PA0280       268     163     129     198     177     415     199     143     100     134     191     129     221     191     216    1166    1311    1551    1392    1179    1674    1804    1274    1420    1688    1489    1790    2093     783
PA0281       410     205     169     182     211     396     276     176     106     118     120     119     247     180     204     986    1215    1250    1265     950    1157    1326    1117    1094    1203    1298    1369    1565     521
PA0282       256     182     135     168     256     305     186     199     126     120     232     102     210     253     239     817     868    1034     810     631     905    1198    1245     872     799    1370    1102    1858     391
PA0291      2823    2491    2696    2336    1968    2359    2877    2079    1211    1853     966     859    3063    1706    1549   16688   11474   10110    8040   10383   19107   15482   10811   10666   10003   18744   12865    9621    5182
PA0293       269     223     142     216     196     198     212     173     118     180      61     109     187     188     144     584     952     613    1036     713     941    1152     718     912     870     839    1088     794     510
PA0295       945     856     408     640     673     594     834     481     364     407     381     346     539     498     402    4563    5283    3989    3605    4404    3024    3506    3035    4735    3389    3980    2020    3351    1106
PA0320      5247    1273    1605    2355     454    2719    2998    6366    4471    2017    1327    1053    4347    4071    2683     257     320    1072     294     953     270     277    1460    1099    1109     285     226     922     149
PA0331      2259    1725    1470    2023    1995    2044    2090    1709     858    1246     893     859    2347    1488    1216    3374    4195    9047    4662    4380    5003    5992    9518    5278    4876    5338    5694    8672    2152
PA0352       564     290     271     551     363     413     556     358     162     260     118     198     443     261     199     803    1119    3424    1686    1245    1728    2138    3520    1345    1640    1191    2044    3340     575
PA0353      4757    2733    2566    2764    2709    4181    3640    2091    1635    2833    1422    1337    3887    2342    2141    7919    8878   11234    8785    8167    7262    9162   10814    9755    7346    7965    7428   10803    4047
PA0381      2770    2373    1902    2084    1765    2279    2047    1373     835     849     676     707    2009    1198     990    4475    4483   10439    7521    4044    4927    6968    9483    5318    4782    4383    6620   10561    3108
PA0382      1073     856     631    1154     956     850     852     801     290     533     268     391    1037     674     549    1456    2008    6040    4028    1934    2971    4256    6960    3412    2957    2361    3784    6474    1225
PA0390      1160     826     845     870     693     802     893     625     322     425     288     398    1072     485     438    2387    2720    6764    3499    2866    2793    3567    5642    2834    2806    2408    3443    6383    1211
PA0401      2026    1725    1203    1971    1883    2368    2259    1920    1112    1330     728     534    2156    1399    1266    3145    4126    6089    4305    4195    4693    5817    8491    8535    5324    5576    4720    5732    2628
PA0402      2372    1552    1221    1458    1363    1916    1928    1214     730    1214     778     550    1911    1259     971    5271    6348    8161    5196    6470    6235    6842    8379    8878    5612    6433    4907    7669    2186
PA0403      1307     870     547     966     821     927    1141     787     549     648     353     293     764     745     543    3061    4011    4381    2947    3587    3023    3805    4818    4632    3637    4199    2304    3834    1057
PA0409       653     886    1037     637     704     795     499     473     378     495     635     709    1242     551     533    4237    3389    2506    3682    3187    2158    2840    2735    5718    1892    3823    2122    2718    3527
PA0410       796     861     379    1079     853     841    1115    1052     486     491     427     488     735     717     635    1974    3763    3085    2783    3519    3174    4352    4560    5825    3580    4884    2993    3539    1282
PA0411      2649    2445    2355    2162    2072    3569    2415    1829     964    1255    1090    1143    3431    1624    1506   15238   13019   10728   14474   13140   13881   14465   10274   18494   11670   13951   11451    9448    8707
PA0412       712     553     463     642     580     971     832     625     249     323     209     296     779     418     359    1666    2042    2101    2575    2137    2253    2615    2321    2882    2248    2427    2117    1787    1601
PA0413      5558    4747    2856    7100    5769    7992    7975    7228    2624    3811    3206    2862    6254    5182    4460   13099   15017   17623   18129   15004   18489   23549   24365   21964   18045   22886   19918   18512   10255
PA0414       483     336     287     318     294     824     696     384     164     170     159     186     722     269     218    1215    1337    1604    1274    1240    1616    1619    1371    1069    1280    1693    1351    1101     714
PA0416       133      97      52     120      95     146     221     156      58      70      78      60     175     118      91     274     356     541     286     382     337     561     583     368     338     451     411     512     181
PA0420      1176     868     798     901     776    1222     922     663     430     612     404     385    1185     666     519    2256    2410    6469    3918    2454    2651    3488    5451    3188    3029    2812    3342    6899    1674
PA0426     10205    6647    5570    7581    6189    8230    7728    4740    3340    4897    2453    2958    7529    4370    4283   13992   15459   20872   31241   21227   19807   23190   22609   25860   24907   18878   20463   22390   15479
PA0427      3301    2049    2224    2267    1568    3132    2788    1775     971    1266     844     854    3288    1427    1185    6454    5581    7417   11556    7575    7505    7951    7925    9546    8906    7461    8443    8505    7085
PA0428      5230    4331    3282    4403    3684    5172    5904    4018    2703    3515    2062    2010    6137    3770    3103    7605   10497   19500   15326   10107   13707   22830   32364   22048   16776   12346   17727   25786   10179
PA0437       939     793     586     808     868     860    1173     709     372     632     395     405     935     625     556    2423    1968    3061    3128    2370    3096    3289    2676    2178    2582    2937    3089    3310    1405
PA0446      2400    1692    1178    2045    2532    5735    5088    4112    2386    2402    4682    3210    5385    5069    3418     544     931    1259     780     933     930    1095    1739    1342     917     977    1104    1354     422
PA0447      3502    2975    2644    2301    2874   22288   17485    9324    6314    3393   13429    9627   23834   13861    8677    1291    1557    2393    1415    1614    1861    1318    2105    1264    1233    1163    1033    2056     862
PA0451      6408    5888    1423   12553    9966    3761    7408    9394    4589    9829    4505    2227    3539    8304    6990      97     290     552     212     343     196     606    1109     956     352     644     321     546     156
PA0452      1084     500     300     739    1014     545     737     397     644    1817     294     255     445     707     698      68     111     128      73     131      76     127     151     152      91     125      94     131      54
PA0471      1021     798     418     969     738     825     976     681     300     493     249     324     930     492     427      36      66     294      99      62      83     139     281      66      99      90     155     162      46
PA0472      2285    1366    1660    1426    1201    1712    1760    1190     853     870     443     567    2721     774     671      81      92     369     170      89     101     215     316      80      91      66     329     164      72
PA0483      2578    1689    1073    2071    1993    2287    2771    2180    1359    2084    1051     918    2018    1968    1579     416     522     846     561     449     399     510     821     575     444     632     582     846     287
PA0484      5226    2515    2021    3193    3197    3883    3835    2257    1225    2379     827     965    3530    2063    2116     483     505     666     489     556     331     455     549     459     430     513     337     594     269
PA0490      1582     672     615    1224     955    1605    1642     960     781    1154     480     674    1770     966    1087     192     451     497     312     653     256     322     422     256     481     280     293     356     135
PA0505     11179    7273    4727   13859   15433    4751    6882    7865    7642   21388    4173    5924    5640    9263    9565    2556    2259    2563    1485    1736    1540    1557    3605    2688    1417    3038    1508    2826     887
PA0510      1148    1091     334    1467    1286    1717    1314    1116     596     634     813     567    1147     982     871     306     258      59     183     576     189     235     144     271     370     236     157     104      89
PA0520      7903    4949    3128    4873    4394   12433    8276    3434    2559    3120    2759    2182   12130    3226    2709     880     745     675     580    1148     578     540     495     569     784    1113     606     644     296
PA0521      1129    1254     307     856     846    3087    1687     961     521     532     421     407    1798     703     555      47      81      92      35     102      69      81     104     133     118     131      57      64      52
PA0523     16493   23646    9941   16719   15853   22742   14694    6129    8978   12540   13604    5500   22544    9190    8667     913     267     109     120     739     182     422     530     623     389    1800     288     267     380
PA0524     30996   27688   12228   40904   36672   49121   36135   19760   15277   26294   19975   18067   31300   23801   20854    1284     768     364     351    1476     589     971     968    1068    1128    2136     686     639     528
PA0525      6395    5293    1987    7209    5199   11817    8410    4803    2056    2945    2488    1851    7918    3691    2878     429     677     506     523     903     497     853    1184    1310     876    1603     395     510     445
PA0527.1   27343   22482   10502   11668    9241   32598   16657    9558   26262   37500   40232   19400   15546   21213   33223    5300    3501    6414    5720    2594    3352    2505    2269    4655    1333    5879    5756    4409    4794
PA0534      6477    5479    3740    7090    4131    9989    8498    6005    3439    5277    4490    3375   10223    5806    5840     359     841     687     638     481     493     967     827     627     623     659     963     613     352
PA0545       756     427     265     708     664     894     838     862     470     579     337     565     693     728     907    2560    3708    3694    3782    5163    3374    3638    6994   10052    4721    6414    2259    3886    2557
PA0548      7841    5772    5274    6945    5708    8384    7234    5840    2779    3796    2882    2510    8496    4731    4677   12073   11900   25556   18419   12439   20170   24315   28527   17067   17229   17641   22589   32016    9720
PA0549       626     401     310     524     420     755     553     530     205     221     167     160     734     378     321     793    1153    2414    1998    1136    1851    2298    2853    1881    1689    1778    2057    2592    1025
PA0552      3125    2282    1687    3271    3269    4045    3276    2585    1161    2018    1124    1285    3301    2211    2250    4862    5886   10628    7159    6878    7762    9257   11093    7092    9372    8997    8729   11688    4732
PA0563       826     779     825     732     788     394     562     600     253     562     311     282     718     411     475    3623    4828   11320    1762   20705    4699    4581   11362    1648   17246    3329    4157    8074     811
PA0565      2315     876    1150    1490    1748    6365    2535    1670    1382    3923     467    1294    2229    1226    1161     152     169     235     149     203     146     150     260     224     168     204     181     237     137
PA0574       385     233     262     225     223     381     349     192     129     170     109     168     337     192     169    1099    1449    1090    1223    1159     683     902     820     830     672     769     771     834     601
PA0586      8557    4844    4476    4893    4488    5293    5425    3543    2116    4297    2188    1773    6025    3287    3605     585     681    1193     629     995     381     562    1129     823     647     478     444    1056     348
PA0587      7574    4969    4729    5503    5554    5258    5086    3640    2284    4711    2296    1569    7303    3520    3513     539     639    1169     587     950     499     636    1182    1009     750     672     511    1106     343
PA0588     36213   23940   21872   23306   23200   25172   21523   15381   10555   22672   12673    7229   32441   15167   16319    2475    2331    3573    1921    4180    1696    2178    3435    3171    3108    2493    1702    3463    1530
PA0603       929     811    1427     797     719    1251     836     626     360     443     396     405    1592     468     438     208    1775   10824    2256     351     230    1961    7554     874    2534     273    3007    8707    1885
PA0606       485     443     480     432     391     462     488     432     150     211     218     158     525     260     233     105    1225    4456    1100     148     107    1004    3331     727    1468     145    1351    3248     575
PA0611       542     451    1056     448     518     523     568    1437     300     437     280     282    2384     393     371    1235    1475    5329    1872    1545    1247    2091    7841    2185    1808    1748    1829    5835    1064
PA0654       855     786    1953     785     745     699     498     652     433     550     342     509    1683     417     436    4649    2664    4759   10466    2216    2778    4474    2652    3713    2347    2280    4246    4550    7451
PA0656      1404     846     880    1459    1344     947    1282    1618     717    1342     664     547    1153     983     984     354     361     466     238     348     197     204     859     410     244     372     180     601     161
PA0659      1541    1755    2119    1189    1092    1368    1400    1343     511     588     573     478    1900     718     710    4299    4168    7486    3688    8443    3339    4437    6444    2863    7186    4200    4334    6237    1744
PA0663       879     775     898     663     435    1013     727     591     242     286     215     231    1070     364     319    1218    1337    2680    1688    1194    1640    2038    2621    1748    1264    1986    2060    2861    1099
PA0664      1045     994     867    1059     734     985     904     895     335     455     413     344    1203     728     511    2015    2124    3736    2842    1586    2739    3023    3918    3068    1971    2569    2596    4143    1579
PA0672      4940    3145    1426    5028    3393    1692    3776    2163     935    1915     882    1179    2250    1597    1341     102     169     277     308      94     141     242     260     167     160     138     200     229      95
PA0715      1134    1129    1045    5692    6077    1194     278    1234    1647    5501    3448    4079    1524    3793    4513     411     719     739     810     500     243     331     116     471     301     328     372     172     994
PA0731      2182    1550    1117    2355    2926    1480    1920    1460    1160    2690    1047     998    1339    1678    2167     540     964     477     660     821     469     954     703     952     588     622    1049     627     366
PA0736a     6408    2546    1864    5263    3530    3438    5272    4601    2287    4072    1445    1940    3849    3582    3516     139     428     411     318     814     193     410     785     593    1005     268     412     327     181
PA0737      1770     773     471    1271     948     741     818     427     389     913     197     334     946     465     572      93     117      89     120     283      66     148     135     207     433      87     122      93      72
PA0743      1561    1290     713    1073    1309    1760    1388    1198     570     961     467     273    1765     871     823      89      98     117      80     125     102     122      83     154     137     237     136      94     111
PA0746       929     766     716     877     981    1204     864     759     414     584     600     263     954     556     618     421     268     207     322     426     387     342     230     331     370     613     385     211     231
PA0750       517     465     537     380     315     489     412     309     171     226     145     153     534     224     225    1839    1545    1461    2290    2015    1674    1826    1103    1152    1869    1708    2026    1496    1183
PA0752       998     631     609     859     743    1241    1232     768     394     573     316     319     752     482     494     118     151     118     131     147     159     181      93     128     183     226     174     101      73
PA0754      1987    1005    1719    1500    1179    2418    1951    1404     830    1285     574     630    2274     750     702     326     199     167     184     223     315     193     107     148     211     410     186     115     143
PA0755      1166     699    1191     753     503    1529    1440     578     456     643     342     394    1405     565     396      75      98      55      75      73      73      77      65      56      68      63      65      48      56
